,ard,time
0,"1.3803,1.8976,0
",0.996999979019
1,"1.5071,2.0064,0
",1.00699996948
2,"1.6161,2.1186,0
",1.01699995995
3,"1.7155,2.2289,0
",1.02699995041
4,"1.8154,2.3333,0
",1.03699994087
5,"1.9132,2.4393,0
",1.04699993134
6,"2.0195,2.5480,0
",1.0569999218
7,"2.1239,2.6665,0
",1.06699991226
8,"2.2345,2.7859,0
",1.07699990273
9,"2.3465,2.9116,0
",1.08699989319
10,"2.4627,3.0177,0
",1.09699988365
11,"2.5596,3.1157,0
",1.10699987411
12,"2.5596,3.0882,0
",1.11699986458
13,"2.4767,2.9807,0
",1.12699985504
14,"2.4244,2.8978,0
",1.1369998455
15,"2.4614,2.9224,0
",1.14699983597
16,"2.5503,2.9902,0
",1.15599989891
17,"2.5904,3.0438,0
",1.16699981689
18,"2.5503,3.0223,0
",1.17700004578
19,"2.4644,2.9671,0
",1.18700003624
20,"2.4276,2.9443,0
",1.1970000267
21,"2.4078,2.9504,0
",1.20700001717
22,"2.1616,2.7352,0
",1.21700000763
23,"1.8982,2.4423,0
",1.22699999809
24,"1.6053,2.1582,0
",1.23699998856
25,"1.3853,1.9559,0
",1.24699997902
26,"1.3074,1.8745,0
",1.25699996948
27,"1.3012,1.8637,0
",1.26699995995
28,"1.3260,1.8637,0
",1.27699995041
29,"1.3336,1.8637,0
",1.28699994087
30,"1.3277,1.8392,0
",1.29699993134
31,"1.3044,1.8038,0
",1.3069999218
32,"1.2782,1.7763,0
",1.31699991226
33,"1.2599,1.7547,0
",1.32699990273
34,"1.2494,1.7439,0
",1.33699989319
35,"1.2386,1.7376,0
",1.34699988365
36,"1.2338,1.7318,0
",1.35699987411
37,"1.2295,1.7285,0
",1.36699986458
38,"1.2265,1.7256,0
",1.37699985504
39,"1.2263,1.7181,0
",1.3869998455
40,"1.2232,1.7105,0
",1.39699983597
41,"1.0382,1.5076,0
",1.40699982643
42,"0.7030,1.2652,0
",1.41699981689
43,"0.3410,0.9725,0
",1.42700004578
44,"0.1551,0.8559,0
",1.43700003624
45,"0.2366,0.9508,0
",1.4470000267
46,"0.4405,1.1105,0
",1.45700001717
47,"0.6172,1.2329,0
",1.46700000763
48,"0.7537,1.3331,0
",1.47699999809
49,"0.8568,1.4141,0
",1.48699998856
50,"0.9222,1.4616,0
",1.49699997902
51,"1.0250,1.5692,0
",1.50699996948
52,"1.0898,1.6199,0
",1.51699995995
53,"1.1896,1.6994,0
",1.52699995041
54,"1.2815,1.7914,0
",1.53699994087
55,"1.3781,1.8850,0
",1.54699993134
56,"1.4715,1.9741,0
",1.5569999218
57,"1.5716,2.0754,0
",1.56699991226
58,"1.6606,2.1690,0
",1.57699990273
59,"1.7509,2.2626,0
",1.58699989319
60,"1.8445,2.3605,0
",1.59699988365
61,"1.9334,2.4609,0
",1.60699987411
62,"2.0301,2.5620,0
",1.61699986458
63,"2.1152,2.6710,0
",1.62699985504
64,"2.2296,2.7813,0
",1.6369998455
65,"2.3387,2.8978,0
",1.64599990845
66,"2.4477,3.0053,0
",1.65699982643
67,"2.5426,3.1049,0
",1.66699981689
68,"2.5596,3.0960,0
",1.67700004578
69,"2.4891,2.9918,0
",1.68700003624
70,"2.4352,2.8949,0
",1.6970000267
71,"2.4630,2.9027,0
",1.70700001717
72,"2.5442,2.9791,0
",1.71700000763
73,"2.5903,3.0430,0
",1.72699999809
74,"2.5488,3.0331,0
",1.73699998856
75,"2.4630,2.9732,0
",1.74699997902
76,"2.3569,2.8703,0
",1.75699996948
77,"2.1082,2.6095,0
",1.76699995995
78,"1.8137,2.3117,0
",1.77699995041
79,"1.5468,2.0525,0
",1.78699994087
80,"1.3722,1.9036,0
",1.79699993134
81,"1.3106,1.8637,0
",1.8069999218
82,"1.3150,1.8640,0
",1.81699991226
83,"1.3335,1.8653,0
",1.82699990273
84,"1.3365,1.8545,0
",1.83699989319
85,"1.3215,1.8254,0
",1.84699988365
86,"1.2969,1.7929,0
",1.85699987411
