,ard,time
0,"1.4792,2.0159,0
",0.996000051498
1,"1.5872,2.1507,0
",1.00600004196
2,"1.7554,2.2809,0
",1.01600003242
3,"1.8801,2.4177,0
",1.02600002289
4,"2.0028,2.5526,0
",1.03600001335
5,"2.1311,2.6956,0
",1.04600000381
6,"2.2635,2.8441,0
",1.05599999428
7,"2.4153,2.9810,0
",1.06599998474
8,"2.5519,3.1188,0
",1.0759999752
9,"2.5842,-3.1317,0
",1.08599996567
10,"2.4981,3.0346,0
",1.09599995613
11,"2.4168,2.9057,0
",1.10599994659
12,"2.4320,2.8811,0
",1.11599993706
13,"2.5258,2.9626,0
",1.12599992752
14,"2.6007,3.0529,0
",1.13599991798
15,"2.5840,3.0621,0
",1.14599990845
16,"2.4826,2.9934,0
",1.15599989891
17,"2.4121,2.9427,0
",1.16599988937
18,"2.4259,2.9564,0
",1.17599987984
19,"2.5057,3.0251,0
",1.1859998703
20,"2.5520,3.0742,0
",1.19600009918
21,"2.4734,3.0147,0
",1.20600008965
22,"2.2113,2.7323,0
",1.21600008011
23,"1.9043,2.4190,0
",1.22600007057
24,"1.6003,2.1357,0
",1.23600006104
25,"1.4239,1.9403,0
",1.2460000515
26,"1.3319,1.8607,0
",1.25600004196
27,"1.3199,1.8532,0
",1.26600003242
28,"1.3260,1.8624,0
",1.27500009537
29,"1.3322,1.8637,0
",1.28600001335
30,"1.3276,1.8392,0
",1.29600000381
31,"1.3012,1.8084,0
",1.30599999428
32,"1.2724,1.7826,0
",1.31599998474
33,"1.2507,1.7626,0
",1.3259999752
34,"1.2413,1.7485,0
",1.33599996567
35,"1.2413,1.7410,0
",1.34599995613
36,"1.2413,1.7348,0
",1.35500001907
37,"1.2416,1.7272,0
",1.36500000954
38,"1.2399,1.7197,0
",1.37599992752
39,"1.2307,1.7168,0
",1.38599991798
40,"1.2230,1.7151,0
",1.39599990845
41,"1.2183,1.7134,0
",1.40599989891
42,"1.2184,1.7134,0
",1.41599988937
43,"0.9886,1.5139,0
",1.42599987984
44,"0.6464,1.2327,0
",1.4359998703
45,"0.2258,0.9020,0
",1.44600009918
46,"0.0370,0.7912,0
",1.45600008965
47,"0.1938,0.9614,0
",1.46600008011
48,"0.4588,1.1549,0
",1.47600007057
49,"0.6490,1.2867,0
",1.48600006104
50,"0.8057,1.3734,0
",1.4960000515
51,"0.9654,1.5463,0
",1.50600004196
52,"1.0756,1.6474,0
",1.51600003242
53,"1.2121,1.7718,0
",1.52600002289
54,"1.3519,1.8929,0
",1.53600001335
55,"1.4809,2.0168,0
",1.54600000381
56,"1.6024,2.1399,0
",1.55599999428
57,"1.7230,2.2626,0
",1.56599998474
58,"1.8368,2.3883,0
",1.5759999752
59,"1.9580,2.5113,0
",1.58599996567
60,"2.0809,2.6399,0
",1.59599995613
61,"2.2017,2.7810,0
",1.60599994659
62,"2.3385,2.9220,0
",1.61599993706
63,"2.4749,3.0484,0
",1.62599992752
64,"2.5718,-3.1396,0
",1.63599991798
65,"2.5519,3.1020,0
",1.64599990845
66,"2.4675,2.9685,0
",1.65499997139
67,"2.4243,2.8840,0
",1.66599988937
68,"2.4737,2.9191,0
",1.67599987984
69,"2.5657,3.0084,0
",1.6859998703
70,"2.6007,3.0624,0
",1.69600009918
71,"2.5381,3.0317,0
",1.70600008965
72,"2.4459,2.9643,0
",1.71600008011
73,"2.4151,2.9381,0
",1.72600007057
74,"2.4658,2.9826,0
",1.73600006104
75,"2.5381,3.0487,0
",1.7460000515
76,"2.4965,3.0346,0
",1.75600004196
77,"2.2430,2.7767,0
",1.76600003242
78,"1.9350,2.4730,0
",1.77600002289
79,"1.6467,2.1860,0
",1.78600001335
80,"1.4317,1.9743,0
",1.79600000381
81,"1.3322,1.8715,0
",1.80599999428
82,"1.3133,1.8575,0
",1.81599998474
83,"1.3260,1.8607,0
",1.8259999752
84,"1.3368,1.8620,0
",1.83599996567
85,"1.3368,1.8467,0
",1.84599995613
86,"1.3136,1.8163,0
",1.85599994659
87,"1.2844,1.7917,0
",1.86599993706
88,"1.2583,1.7688,0
",1.87599992752
89,"1.2429,1.7514,0
",1.88599991798
90,"1.2383,1.7409,0
",1.89599990845
91,"1.2370,1.7364,0
",1.90599989891
92,"1.2370,1.7302,0
",1.91599988937
93,"1.2367,1.7226,0
",1.92599987984
94,"1.2370,1.7148,0
",1.9359998703
95,"1.2308,1.7151,0
",1.94600009918
96,"1.2213,1.7151,0
",1.95600008965
97,"1.1523,1.6336,0
",1.96499991417
98,"0.7860,1.3375,0
",1.97600007057
99,"0.4146,1.0334,0
",1.98600006104
100,"0.1247,0.8359,0
",1.9960000515
101,"0.2137,0.9214,0
",2.00600004196
102,"0.4408,1.1333,0
",2.01600003242
103,"0.6476,1.2789,0
",2.02600002289
104,"0.8043,1.3836,0
",2.03600001335
105,"0.9088,1.4648,0
",2.04600000381
106,"1.0390,1.5861,0
",2.05599999428
107,"1.1215,1.6719,0
",2.06599998474
108,"1.2413,1.7825,0
",2.07500004768
109,"1.3689,1.8899,0
",2.08599996567
110,"1.4559,2.0005,0
",2.09599995613
111,"1.5976,2.1137,0
",2.10599994659
112,"1.7080,2.2289,0
",2.11599993706
113,"1.8182,2.3499,0
",2.12599992752
114,"1.9305,2.4668,0
",2.13599991798
115,"2.0424,2.5866,0
",2.14599990845
116,"2.1573,2.7168,0
",2.15599989891
117,"2.2833,2.8487,0
",2.16599988937
118,"2.4168,2.9731,0
",2.17499995232
119,"2.5398,3.1050,0
",2.18499994278
120,"2.5777,-3.1409,0
",2.19499993324
121,"2.5071,3.0408,0
",2.20600008965
122,"2.4305,2.9132,0
",2.21600008011
123,"2.4367,2.8857,0
",2.22600007057
124,"2.5210,2.9548,3
",2.23600006104
125,"2.5964,3.0408,3
",2.2460000515
126,"2.6145,3.0667,3
",2.25600004196
127,"2.5611,3.0408,3
",2.26600003242
128,"2.4888,2.9904,3
",2.27600002289
129,"2.4478,2.9594,3
",2.28600001335
130,"2.4521,2.9698,3
",2.29600000381
131,"2.4367,2.9672,3
",2.30599999428
132,"2.2217,2.7447,3
",2.31599998474
133,"1.9364,2.4635,3
",2.3259999752
134,"1.6634,2.1969,3
",2.33599996567
135,"1.4608,1.9926,3
",2.34599995613
136,"1.3486,1.8928,3
",2.35599994659
137,"1.3152,1.8728,3
",2.36599993706
138,"1.3182,1.8729,3
",2.375
139,"1.3244,1.8670,3
",2.38599991798
140,"1.3244,1.8454,3
",2.39599990845
141,"1.3073,1.8162,3
",2.40599989891
142,"1.2890,1.7871,3
",2.41599988937
143,"1.2707,1.7655,3
",2.42599987984
144,"1.2554,1.7498,3
",2.4359998703
145,"1.2462,1.7394,3
",2.44600009918
146,"1.2383,1.7334,3
",2.45499992371
147,"1.2324,1.7269,3
",2.46600008011
148,"1.2275,1.7226,3
",2.47600007057
149,"1.2233,1.7209,3
",2.48600006104
150,"1.2200,1.7210,3
",2.4960000515
151,"1.2200,1.7197,3
",2.50600004196
152,"0.9173,1.4585,3
",2.51600003242
153,"0.6078,1.1981,3
",2.52600002289
154,"0.2117,0.9124,3
",2.53600001335
155,"0.0844,0.8404,3
",2.54600000381
156,"0.2565,1.0077,3
",2.55599999428
157,"0.4945,1.1823,3
",2.56599998474
158,"0.6696,1.2975,3
",2.5759999752
159,"0.8106,1.3957,3
",2.58599996567
160,"0.9012,1.4756,3
",2.59599995613
161,"1.0358,1.6045,3
",2.60599994659
162,"1.1156,1.6769,3
",2.61599993706
163,"1.2429,1.7793,3
",2.62599992752
164,"1.3564,1.8869,3
",2.63499999046
165,"1.4671,1.9989,3
",2.64599990845
166,"1.5820,2.1124,3
",2.65599989891
167,"1.6926,2.2256,3
",2.66599988937
168,"1.8015,2.3378,3
",2.67599987984
169,"1.9147,2.4527,3
",2.6859998703
170,"2.0284,2.5725,3
",2.69600009918
171,"2.1452,2.7031,3
",2.70600008965
172,"2.2695,2.8333,3
",2.71600008011
173,"2.3969,2.9561,3
",2.72600007057
174,"2.5195,3.0853,3
",2.7349998951
175,"2.5762,3.1360,3
",2.7460000515
176,"2.5227,3.0559,3
",2.75600004196
177,"2.4416,2.9286,3
",2.76600003242
178,"2.4259,2.8886,3
",2.77600002289
179,"2.4999,2.9456,3
",2.78600001335
180,"2.5810,3.0376,3
",2.79600000381
181,"2.5885,3.0621,3
",2.80599999428
182,"2.5087,3.0055,3
",2.81599998474
183,"2.4321,2.9472,3
",2.8259999752
184,"2.4288,2.9456,3
",2.83599996567
185,"2.4935,3.0068,3
",2.84599995613
186,"2.4949,3.0163,3
",2.85599994659
187,"2.2662,2.7826,3
",2.86599993706
188,"1.9655,2.4884,3
",2.87599992752
189,"1.6739,2.2057,3
",2.88599991798
190,"1.4500,1.9926,3
",2.89599990845
191,"1.3274,1.8899,3
",2.90599989891
192,"1.2982,1.8683,3
",2.91599988937
193,"1.3103,1.8666,3
",2.92499995232
194,"1.3244,1.8653,3
",2.93499994278
195,"1.3276,1.8483,3
",2.94499993324
196,"1.3149,1.8179,3
",2.95600008965
197,"1.2906,1.7900,3
",2.96600008011
198,"1.2661,1.7671,3
",2.97600007057
199,"1.2491,1.7531,3
",2.98600006104
200,"1.2370,1.7468,3
",2.9960000515
201,"1.2307,1.7406,3
",3.00600004196
202,"1.2263,1.7364,3
",3.01600003242
203,"1.2230,1.7301,3
",3.02600002289
204,"1.2200,1.7239,3
",3.03600001335
205,"1.2200,1.7181,3
",3.04500007629
206,"1.2197,1.7148,3
",3.05599999428
207,"0.9886,1.4847,3
",3.06500005722
208,"0.6754,1.2177,3
",3.07500004768
209,"0.2794,0.8974,3
",3.08599996567
210,"0.1136,0.7854,3
",3.09599995613
211,"0.2611,0.9507,3
",3.10599994659
212,"0.5066,1.1382,3
",3.11599993706
213,"0.6846,1.2651,3
",3.12599992752
214,"0.8289,1.3712,3
",3.13599991798
215,"0.9331,1.4465,3
",3.14599990845
216,"1.0799,1.5613,3
",3.15599989891
217,"1.1556,1.6370,3
",3.16599988937
218,"1.2691,1.7472,3
",3.17499995232
219,"1.3857,1.8562,3
",3.1859998703
220,"1.4946,1.9697,3
",3.19600009918
221,"1.6114,2.0833,3
",3.20600008965
222,"1.7171,2.1969,3
",3.21600008011
223,"1.8228,2.3130,3
",3.22600007057
224,"1.9334,2.4327,3
",3.23600006104
225,"2.0456,2.5542,3
",3.2460000515
226,"2.1619,2.6845,3
",3.25600004196
227,"2.2833,2.8163,3
",3.26499986649
228,"2.4119,2.9427,3
",3.27600002289
229,"2.5385,3.0713,3
",3.28600001335
230,"2.5860,3.1298,3
",3.29600000381
231,"2.5211,3.0562,3
",3.30599999428
232,"2.4305,2.9443,3
",3.31599998474
233,"2.4154,2.9024,3
",3.3259999752
234,"2.4906,2.9548,3
",3.33599996567
235,"2.5746,3.0454,3
",3.34599995613
236,"2.5857,3.0667,3
",3.35500001907
237,"2.5103,3.0071,3
",3.36599993706
238,"2.4399,2.9427,3
",3.37599992752
239,"2.4305,2.9397,3
",3.38599991798
240,"2.4923,3.0039,3
",3.39599990845
241,"2.4963,3.0176,3
",3.40599989891
242,"2.2802,2.7797,3
",3.41599988937
243,"1.9815,2.4818,3
",3.42599987984
244,"1.6877,2.1985,3
",3.4359998703
245,"1.4563,1.9835,3
",3.44499993324
246,"1.3319,1.8820,3
",3.45600008965
247,"1.2981,1.8653,3
",3.46600008011
248,"1.3076,1.8669,3
",3.47600007057
249,"1.3246,1.8670,3
",3.48600006104
250,"1.3243,1.8503,3
",3.4960000515
251,"1.3072,1.8162,3
",3.50600004196
252,"1.2843,1.7871,3
",3.51600003242
253,"1.2673,1.7596,3
",3.52600002289
254,"1.2489,1.7472,3
",3.53500008583
255,"1.2396,1.7410,3
",3.54600000381
256,"1.2384,1.7381,3
",3.55599999428
257,"1.2393,1.7318,3
",3.56599998474
258,"1.2357,1.7272,3
",3.5759999752
259,"1.2276,1.7239,3
",3.58599996567
260,"1.2200,1.7197,3
",3.59599995613
261,"1.2167,1.7147,3
",3.60599994659
262,"1.0571,1.5659,3
",3.61500000954
263,"0.7154,1.2838,3
",3.625
264,"0.3029,0.9660,3
",3.63599991798
265,"0.0478,0.7975,3
",3.64599990845
266,"0.1584,0.9172,3
",3.65599989891
267,"0.4238,1.1107,3
",3.66599988937
268,"0.6268,1.2422,3
",3.67599987984
269,"0.7860,1.3529,3
",3.6859998703
