,x,y,time,ard
1864,[54280 54586 63939],[50626 59727 59789],1510687955772,['0.0912' '0.5826' '1.2000' '1.7000\n']
1865,[54281 54588 63938],[50628 59728 59789],1510687955787,['0.0909' '0.5825' '2.5000' '3.0000\n']
1866,[54280 54586 63947],[50626 59726 59792],1510687955788,['0.0905' '0.5825' '2.5000' '3.0000\n']
1867,[54281 54582 63946],[50628 59723 59791],1510687955803,['0.0899' '0.5821' '2.5000' '3.0000\n']
1868,[54280 54588 63947],[50627 59728 59790],1510687955804,['0.0896' '0.5825' '2.5000' '3.0000\n']
1869,[54280 54586 63946],[50629 59727 59791],1510687955819,['0.0896' '0.5825' '2.5000' '3.0000\n']
1870,[54280 54588 63938],[50626 59727 59789],1510687955833,['0.0892' '0.5825' '2.5000' '3.0000\n']
1871,[54281 54588 63939],[50628 59727 59789],1510687955834,['0.0889' '0.5826' '2.5000' '3.0000\n']
1872,[54280 54587 63946],[50627 59726 59791],1510687955851,['0.0886' '0.5825' '2.5000' '3.0000\n']
1873,[54280 54583 63939],[50627 59723 59789],1510687955867,['0.0883' '0.5825' '2.5000' '3.0000\n']
1874,[54281 54579 63946],[50627 59722 59791],1510687955868,['0.0879' '0.5825' '2.5000' '3.0000\n']
1875,[54280 54587 63946],[50627 59726 59792],1510687955883,['0.0873' '0.5822' '2.5000' '3.0000\n']
1876,[54281 54588 63938],[50626 59726 59789],1510687955884,['0.0873' '0.5824' '2.5000' '3.0000\n']
1877,[54281 54587 63946],[50627 59727 59791],1510687955899,['0.0870' '0.5825' '2.5000' '3.0000\n']
1878,[54280 54586 63947],[50627 59728 59791],1510687955915,['0.0866' '0.5825' '2.5000' '3.0000\n']
1879,[54281 54587 63945],[50628 59727 59791],1510687955916,['0.0863' '0.5824' '2.5000' '3.0000\n']
1880,[54280 54581 63947],[50627 59723 59791],1510687955931,['0.0860' '0.5824' '2.5000' '3.0000\n']
1881,[54280 54587 63946],[50626 59727 59791],1510687955947,['0.0856' '0.5825' '2.5000' '3.0000\n']
1882,[54280 54581 63946],[50626 59723 59791],1510687955948,['0.0856' '0.5825' '2.5000' '3.0000\n']
1883,[54280 54586 63938],[50627 59727 59789],1510687955963,['0.0853' '0.5825' '2.5000' '3.0000\n']
1884,[54279 54588 63945],[50627 59728 59791],1510687955965,['0.0846' '0.5825' '2.5000' '3.0000\n']
1885,[54280 54587 63946],[50626 59727 59792],1510687955979,['0.0843' '0.5822' '2.5000' '3.0000\n']
1886,[54280 54587 63946],[50627 59727 59791],1510687955997,['0.0843' '0.5825' '2.5000' '3.0000\n']
1887,[54280 54581 63945],[50627 59724 59791],1510687955998,['0.0840' '0.5825' '2.5000' '3.0000\n']
1888,[54280 54586 63946],[50627 59726 59790],1510687956011,['0.0837' '0.5825' '2.5000' '3.0000\n']
1889,[54280 54586 63945],[50627 59727 59792],1510687956027,['0.0834' '0.5825' '2.5000' '3.0000\n']
1890,[54280 54585 63938],[50627 59728 59789],1510687956028,['0.0830' '0.5825' '1.2000' '1.7000\n']
