,x,y,time,ard
10821,[63140 63671],[31641 57647],1510693622135,['1.2384' '1.7165' '0.5994' '1.2000' '1.7000' '4.0000\n']
10822,[63169 63761],[33385 59078],1510693622135,['1.2384' '1.7153' '0.5994' '1.2000' '1.7000' '4.0000\n']
10823,[63204 63850],[35028 58995],1510693622136,['1.2323' '1.7136' '0.5992' '1.2000' '1.7000' '4.0000\n']
10824,[63116 63965],[36417 59112],1510693622183,['0.9932' '1.4821' '0.5993' '1.2000' '1.7000' '4.0000\n']
10825,[63076 64126],[37010 59114],1510693622184,['0.6695' '1.2119' '0.5993' '1.2000' '1.7000' '4.0000\n']
10826,[62975 64165],[36962 59071],1510693622186,['0.2562' '0.8920' '0.5992' '1.2000' '1.7000' '4.0000\n']
10827,[63095 64093],[36721 59045],1510693622190,['0.0540' '0.7790' '0.5955' '1.2000' '1.7000' '4.0000\n']
10828,[63194 64003],[36248 59024],1510693622215,['0.1997' '0.9352' '0.5917' '1.2000' '1.7000' '4.0000\n']
10829,[63224 63889],[35538 58964],1510693622216,['0.4680' '1.1240' '0.5917' '1.2000' '1.7000' '4.0000\n']
10830,[63201 63826],[34989 58954],1510693622217,['0.6617' '1.2519' '0.5917' '1.2000' '1.7000' '4.0000\n']
10831,[63166 63787],[34580 58961],1510693622217,['0.8182' '1.3620' '0.5956' '1.2000' '1.7000' '4.0000\n']
10832,[63062 63786],[34158 59036],1510693622254,['0.9238' '1.4437' '0.5977' '2.5000' '3.0000' '4.0000\n']
10833,[63110 63762],[33389 59039],1510693622255,['1.0201' '1.5521' '0.5986' '2.5000' '3.0000' '4.0000\n']
10834,[63112 63739],[32572 59017],1510693622255,['1.1312' '1.6316' '0.5992' '2.5000' '3.0000' '4.0000\n']
10835,[63150 63725],[31701 59012],1510693622255,['1.2567' '1.7382' '0.5992' '2.5000' '3.0000' '4.0000\n']
10836,[63167 63718],[30730 59007],1510693622294,['1.3720' '1.8309' '0.5992' '2.5000' '3.0000' '4.0000\n']
10837,[63145 63718],[29638 59008],1510693622295,['1.4410' '1.9593' '0.5992' '2.5000' '3.0000' '4.0000\n']
10838,[63133 63724],[28496 59008],1510693622295,['1.5865' '2.0708' '0.5994' '2.5000' '3.0000' '4.0000\n']
10839,[63144 63737],[27346 59010],1510693622295,['1.7001' '2.1831' '0.5994' '2.5000' '3.0000' '4.0000\n']
10840,[63153 63755],[26157 59009],1510693622334,['1.8047' '2.2967' '0.5992' '2.5000' '3.0000' '4.0000\n']
10841,[63149 63780],[24870 59011],1510693622335,['1.9089' '2.4148' '0.5994' '2.5000' '3.0000' '4.0000\n']
10842,[63141 63814],[23528 59010],1510693622335,['2.0224' '2.5313' '0.5994' '2.5000' '3.0000' '4.0000\n']
10843,[63136 63850],[22212 59004],1510693622335,['2.1360' '2.6586' '0.5994' '2.5000' '3.0000' '4.0000\n']
10844,[63129 63886],[20961 58978],1510693622375,['2.2541' '2.7938' '0.5994' '2.5000' '3.0000' '4.0000\n']
