,ard,time
0,"1.3964,1.8836,0
",0.99799990654
1,"1.5100,1.9926,0
",1.007999897
2,"1.6159,2.1075,0
",1.01699995995
3,"1.7125,2.2181,0
",1.02699995041
4,"1.8137,2.3241,0
",1.03699994087
5,"1.9151,2.4285,0
",1.04699993134
6,"2.0208,2.5359,0
",1.0569999218
7,"2.1252,2.6573,0
",1.06699991226
8,"2.2311,2.7780,0
",1.07800006866
9,"2.3477,2.9024,0
",1.08800005913
10,"2.4531,3.0239,0
",1.09800004959
11,"2.5611,3.1129,0
",1.10700011253
12,"2.5627,3.0915,0
",1.117000103
13,"2.4535,2.9747,0
",1.12700009346
14,"2.4322,2.9007,0
",1.13700008392
15,"2.4551,2.9207,0
",1.14700007439
16,"2.5487,3.0039,0
",1.15700006485
17,"2.5903,3.0483,0
",1.16700005531
18,"2.5472,3.0240,0
",1.1779999733
19,"2.4570,2.9636,0
",1.18700003624
20,"2.4351,2.9455,0
",1.1970000267
21,"2.4060,2.9165,0
",1.20700001717
22,"2.1834,2.6782,0
",1.21700000763
23,"1.8830,2.3778,0
",1.22699999809
24,"1.6038,2.1016,0
",1.23699998856
25,"1.4071,1.9177,0
",1.24699997902
26,"1.3244,1.8516,0
",1.25699996948
27,"1.3169,1.8499,0
",1.26799988747
28,"1.3260,1.8578,0
",1.27699995041
29,"1.3319,1.8591,0
",1.28699994087
30,"1.3198,1.8379,0
",1.29699993134
31,"1.2969,1.8054,0
",1.3069999218
32,"1.2767,1.7763,0
",1.31699991226
33,"1.2596,1.7580,0
",1.32699990273
34,"1.2507,1.7485,0
",1.33699989319
35,"1.2416,1.7439,0
",1.34700012207
36,"1.2337,1.7409,0
",1.35700011253
37,"1.2295,1.7393,0
",1.367000103
38,"1.2246,1.7347,0
",1.37700009346
39,"1.2197,1.7289,0
",1.38700008392
40,"1.2167,1.7193,0
",1.39700007439
41,"1.0868,1.5921,0
",1.40700006485
42,"0.7799,1.3283,0
",1.41700005531
43,"0.4084,1.0442,0
",1.42700004578
44,"0.1525,0.8710,0
",1.43700003624
45,"0.1937,0.9265,0
",1.44799995422
46,"0.3963,1.0750,0
",1.45700001717
47,"0.5819,1.2056,0
",1.46700000763
48,"0.7291,1.3067,0
",1.47699999809
49,"0.8332,1.3940,0
",1.48699998856
50,"0.9023,1.4615,0
",1.49699997902
51,"1.0083,1.5567,0
",1.50699996948
52,"1.0819,1.6120,0
",1.51699995995
53,"1.1893,1.6964,0
",1.52699995041
54,"1.2861,1.7917,0
",1.53699994087
55,"1.3810,1.8866,0
",1.54699993134
56,"1.4793,1.9851,0
",1.5569999218
57,"1.5806,2.0833,0
",1.5680000782
58,"1.6739,2.1769,0
",1.57699990273
59,"1.7633,2.2734,0
",1.58699989319
60,"1.8566,2.3716,0
",1.59700012207
61,"1.9521,2.4730,0
",1.60700011253
62,"2.0485,2.5800,0
",1.617000103
63,"2.1495,2.6874,0
",1.62700009346
64,"2.2509,2.7996,0
",1.63700008392
65,"2.3601,2.9194,0
",1.64700007439
66,"2.4704,3.0365,0
",1.65799999237
67,"2.5565,3.1144,0
",1.66700005531
68,"2.5474,3.0807,0
",1.67700004578
69,"2.4750,2.9640,0
",1.68700003624
70,"2.4429,2.8978,0
",1.6970000267
71,"2.4793,2.9178,0
",1.70700001717
72,"2.5640,3.0012,0
",1.71700000763
73,"2.5917,3.0456,0
",1.72799992561
74,"2.5377,3.0254,0
",1.73699998856
75,"2.4567,2.9687,0
",1.74699997902
76,"2.3632,2.8828,0
",1.75699996948
77,"2.1176,2.6220,0
",1.76699995995
78,"1.8215,2.3258,0
",1.77699995041
79,"1.5560,2.0646,0
",1.78699994087
80,"1.3764,1.9111,0
",1.79699993134
81,"1.3136,1.8636,0
",1.8069999218
82,"1.3149,1.8621,0
",1.81699991226
83,"1.3320,1.8640,0
",1.82699990273
84,"1.3365,1.8591,0
",1.83699989319
85,"1.3227,1.8316,0
",1.84700012207
86,"1.2950,1.7992,0
",1.85700011253
87,"1.2737,1.7751,0
",1.867000103
88,"1.2583,1.7567,0
",1.87700009346
89,"1.2478,1.7485,0
",1.88700008392
90,"1.2384,1.7439,0
",1.89700007439
91,"1.2337,1.7380,0
",1.90799999237
92,"1.2340,1.7364,0
",1.91700005531
93,"1.2308,1.7334,0
",1.92700004578
94,"1.2262,1.7302,0
",1.93700003624
95,"1.2216,1.7227,0
",1.9470000267
96,"0.9867,1.5155,0
",1.95700001717
97,"0.7013,1.2776,0
",1.96700000763
98,"0.3486,1.0047,0
",1.97699999809
99,"0.1705,0.8910,0
",1.98799991608
100,"0.2533,0.9755,0
",1.99699997902
101,"0.4559,1.1258,0
",2.00699996948
102,"0.6263,1.2426,0
",2.01699995995
103,"0.7585,1.3374,0
",2.02699995041
104,"0.8453,1.4157,0
",2.03699994087
105,"0.9009,1.4740,0
",2.04699993134
106,"0.9958,1.5571,0
",2.0569999218
107,"1.0649,1.6117,0
",2.06699991226
108,"1.1663,1.6889,0
",2.07800006866
109,"1.2613,1.7776,0
",2.08699989319
110,"1.3580,1.8745,0
",2.09700012207
111,"1.4547,1.9711,0
",2.10700011253
112,"1.5544,2.0679,0
",2.117000103
113,"1.6496,2.1611,0
",2.12700009346
114,"1.7387,2.2567,0
",2.13700008392
115,"1.8336,2.3549,0
",2.14700007439
116,"1.9275,2.4561,0
",2.15700006485
117,"2.0242,2.5621,0
",2.16700005531
118,"2.1236,2.6677,0
",2.17700004578
119,"2.2264,2.7797,0
",2.18700003624
120,"2.3337,2.8978,0
",2.1970000267
121,"2.4459,3.0160,0
",2.20700001717
122,"2.5002,3.1079,0
",2.21700000763
123,"2.5593,3.1025,0
",2.22699999809
124,"2.4936,2.9908,1
",2.23699998856
125,"2.4430,2.9011,1
",2.24699997902
126,"2.4476,2.8795,1
",2.257999897
127,"2.5032,2.9223,1
",2.26699995995
128,"2.5608,2.9848,1
",2.27699995041
129,"2.5779,3.0178,1
",2.28699994087
130,"2.5616,3.0195,1
",2.29699993134
131,"2.4335,2.9289,1
",2.3069999218
132,"2.1557,2.6553,1
",2.31699991226
133,"1.8303,2.3437,1
",2.32699990273
134,"1.5436,2.0737,1
",2.33800005913
135,"1.3627,1.9098,1
",2.34700012207
136,"1.2999,1.8621,1
",2.35700011253
137,"1.3012,1.8620,1
",2.367000103
138,"1.3243,1.8700,1
",2.37700009346
139,"1.3307,1.8654,1
",2.38700008392
140,"1.3214,1.8358,1
",2.39700007439
141,"1.2981,1.8054,1
",2.40700006485
142,"1.2753,1.7763,1
",2.41700005531
143,"1.2583,1.7596,1
",2.42700004578
144,"1.2492,1.7514,1
",2.43700003624
145,"1.2400,1.7472,1
",2.4470000267
146,"1.2369,1.7393,1
",2.45700001717
147,"1.2337,1.7331,1
",2.46700000763
148,"1.2308,1.7289,1
",2.47699999809
149,"1.2262,1.7226,1
",2.48699998856
150,"1.1908,1.6903,1
",2.49699997902
151,"0.8823,1.4372,1
",2.50699996948
152,"0.5894,1.2118,1
",2.51699995995
153,"0.2795,1.0059,1
",2.52699995041
154,"0.1888,0.9586,1
",2.53699994087
155,"0.3040,1.0488,1
",2.54699993134
156,"0.4883,1.1748,1
",2.5569999218
157,"0.6371,1.2763,1
",2.56699991226
158,"0.7504,1.3666,1
",2.57699990273
159,"0.8364,1.4356,1
",2.58699989319
160,"0.8964,1.4893,1
",2.59700012207
161,"0.9945,1.5659,1
",2.60700011253
162,"1.0678,1.6133,1
",2.617000103
163,"1.1694,1.6919,1
",2.62700009346
164,"1.2645,1.7809,1
",2.63700008392
165,"1.3626,1.8712,1
",2.64700007439
166,"1.4611,1.9664,1
",2.65700006485
167,"1.5620,2.0600,1
",2.66700005531
168,"1.6559,2.1566,1
",2.67700004578
169,"1.7463,2.2519,1
",2.68700003624
170,"1.8399,2.3487,1
",2.6970000267
171,"1.9337,2.4511,1
",2.70700001717
172,"2.0316,2.5558,1
",2.71700000763
173,"2.1300,2.6648,1
",2.72699999809
174,"2.2312,2.7751,1
",2.73699998856
175,"2.3415,2.8962,1
",2.74699997902
176,"2.4534,3.0182,1
",2.75699996948
177,"2.5244,3.1065,1
",2.76699995995
178,"2.5238,3.0975,1
",2.77699995041
179,"2.5087,2.9981,1
",2.78699994087
180,"2.4629,2.9116,1
",2.79699993134
181,"2.4704,2.8978,1
",2.8069999218
182,"2.5266,2.9674,1
",2.81699991226
183,"2.5841,3.0332,1
",2.82699990273
184,"2.5265,3.0471,1
",2.83800005913
185,"2.4781,2.9986,1
",2.84800004959
186,"2.3645,2.8965,1
",2.85700011253
187,"2.1052,2.6232,1
",2.867000103
188,"1.8032,2.3179,1
",2.87700009346
189,"1.5345,2.0558,1
",2.88700008392
190,"1.3627,1.9049,1
",2.89700007439
191,"1.3074,1.8636,1
",2.90700006485
192,"1.3136,1.8621,1
",2.91700005531
193,"1.3319,1.8653,1
",2.92700004578
194,"1.3365,1.8562,1
",2.93700003624
195,"1.3257,1.8270,1
",2.94799995422
196,"1.3029,1.7963,1
",2.95700001717
197,"1.2770,1.7701,1
",2.96700000763
198,"1.2567,1.7547,1
",2.97699999809
199,"1.2445,1.7456,1
",2.98699998856
200,"1.2353,1.7410,1
",2.99699997902
201,"1.2307,1.7393,1
",3.00699996948
202,"1.2263,1.7397,1
",3.01699995995
203,"1.2246,1.7331,1
",3.02699995041
204,"1.2214,1.7289,1
",3.03699994087
205,"1.2198,1.7209,1
",3.04699993134
206,"1.2060,1.7040,1
",3.0569999218
207,"0.8931,1.4282,1
",3.06699991226
208,"0.5956,1.1748,1
",3.07699990273
209,"0.2536,0.9248,1
",3.08699989319
210,"0.1643,0.8678,1
",3.09700012207
211,"0.3135,0.9956,1
",3.10700011253
212,"0.5204,1.1378,1
",3.11800003052
213,"0.6801,1.2468,1
",3.12700009346
214,"0.7995,1.3437,1
",3.13700008392
215,"0.8793,1.4186,1
",3.14700007439
216,"0.9926,1.5233,1
",3.15700006485
217,"1.0754,1.5924,1
",3.16700005531
218,"1.1953,1.6827,1
",3.17700004578
219,"1.2998,1.7809,1
",3.18700003624
220,"1.4010,1.8820,1
",3.1970000267
221,"1.4991,1.9835,1
",3.20700001717
222,"1.6038,2.0865,1
",3.21700000763
223,"1.6988,2.1828,1
",3.22699999809
224,"1.7939,2.2829,1
",3.23699998856
225,"1.8875,2.3854,1
",3.24699997902
226,"1.9873,2.4914,1
",3.25699996948
227,"2.0884,2.6016,1
",3.26699995995
228,"2.1896,2.7169,1
",3.27699995041
229,"2.2953,2.8350,1
",3.28699994087
230,"2.4092,2.9564,1
",3.29699993134
231,"2.5180,3.0653,1
",3.3069999218
232,"2.5480,3.1099,1
",3.31699991226
233,"2.5196,3.0409,1
",3.32699990273
234,"2.4460,2.9390,1
",3.33699989319
235,"2.4322,2.9040,1
",3.34700012207
236,"2.4982,2.9534,1
",3.35700011253
237,"2.5503,3.0270,1
",3.367000103
238,"2.5499,3.0438,1
",3.37700009346
239,"2.5303,3.0041,1
",3.38700008392
240,"2.4582,2.9608,1
",3.39700007439
241,"2.3723,2.8778,1
",3.40700006485
242,"2.1239,2.6295,1
",3.41700005531
243,"1.8274,2.3346,1
",3.42700004578
244,"1.5636,2.0709,1
",3.43700003624
245,"1.3872,1.9066,1
",3.4470000267
246,"1.3228,1.8545,1
",3.45700001717
247,"1.3197,1.8499,1
",3.46700000763
248,"1.3336,1.8578,1
",3.47699999809
249,"1.3349,1.8591,1
",3.48699998856
250,"1.3214,1.8330,1
",3.49699997902
251,"1.2950,1.8038,1
",3.50699996948
252,"1.2691,1.7796,1
",3.51699995995
253,"1.2537,1.7597,1
",3.52699995041
254,"1.2460,1.7485,1
",3.53699994087
255,"1.2401,1.7439,1
",3.54699993134
256,"1.2371,1.7380,1
",3.5569999218
257,"1.2339,1.7331,1
",3.56699991226
258,"1.2325,1.7285,1
",3.57699990273
259,"1.2293,1.7256,1
",3.58699989319
260,"1.2263,1.7226,1
",3.59700012207
261,"1.2022,1.6915,1
",3.60700011253
262,"0.8597,1.4098,1
",3.617000103
263,"0.5403,1.1490,1
",3.62700009346
264,"0.2104,0.9078,1
",3.63700008392
265,"0.1463,0.8773,1
",3.64700007439
266,"0.3070,1.0125,1
",3.65700006485
267,"0.5096,1.1578,1
",3.66700005531
268,"0.6755,1.2638,1
",3.67700004578
269,"0.8028,1.3561,1
",3.68700003624
270,"0.8885,1.4314,1
",3.6970000267
271,"1.0037,1.5368,1
",3.70700001717
272,"1.0852,1.6029,1
",3.71700000763
273,"1.1996,1.6919,1
",3.72699999809
274,"1.2965,1.7884,1
",3.73699998856
275,"1.4010,1.8912,1
",3.74699997902
276,"1.5021,1.9942,1
",3.75699996948
277,"1.6036,2.0954,1
",3.76699995995
278,"1.6988,2.1936,1
",3.77699995041
279,"1.7953,2.2917,1
",3.78699994087
280,"1.8906,2.3961,1
",3.79699993134
281,"1.9887,2.5031,1
",3.8069999218
282,"2.0915,2.6141,1
",3.81699991226
283,"2.1943,2.7289,1
",3.82699990273
284,"2.3035,2.8474,1
",3.83699989319
285,"2.4184,2.9702,1
",3.84700012207
286,"2.5257,3.0808,1
",3.85700011253
287,"2.5654,3.1160,1
",3.867000103
288,"2.5055,3.0238,1
",3.87700009346
289,"2.4351,2.9240,1
",3.88700008392
290,"2.4381,2.8962,1
",3.89700007439
291,"2.5150,2.9639,1
",3.90700006485
292,"2.5738,3.0394,1
",3.91700005531
293,"2.5716,3.0455,1
",3.92700004578
294,"2.4920,2.9901,1
",3.93700003624
295,"2.4319,2.9517,1
",3.9470000267
296,"2.3752,2.9053,1
",3.95700001717
297,"2.1465,2.6785,1
",3.96700000763
298,"1.8520,2.3840,1
",3.97699999809
