,x,y,time,ard
0,[59822 59729],[58307 60635],1509855721296,['' '-0.8040' '1.2000' '1.7000' '-0.2554\n']
1,[59823 59731],[58307 60636],1509855721297,['0.1154' '0.5302' '-0.8040' '1.2000' '1.7000' '-0.2554\n']
2,[59824 59730],[58308 60636],1509855721334,['0.1154' '0.5304' '2.3376' '2.5000' '3.0000' '0.0000\n']
3,[59823 59731],[58308 60635],1509855721335,['0.1154' '0.5304' '2.3378' '2.5000' '3.0000' '0.0000\n']
4,[59824 59730],[58307 60636],1509855721374,['0.1154' '0.5303' '2.3376' '2.5000' '3.0000' '1.5711\n']
5,[59823 59730],[58307 60636],1509855721374,['0.1154' '0.5305' '2.3378' '2.5000' '3.0000' '1.5711\n']
6,[59824 59731],[58306 60636],1509855721375,['0.1154' '0.5304' '2.3378' '2.5000' '3.0000' '1.5711\n']
7,[59824 59731],[58306 60635],1509855721375,['0.1154' '0.5304' '2.3376' '2.5000' '3.0000' '1.5711\n']
8,[59823 59730],[58307 60636],1509855721414,['0.1154' '0.5304' '2.3375' '2.5000' '3.0000' '1.5711\n']
9,[59823 59730],[58307 60635],1509855721414,['0.1154' '0.5305' '2.3376' '2.5000' '3.0000' '1.5711\n']
10,[59824 59731],[58307 60637],1509855721415,['0.1154' '0.5305' '2.3376' '2.5000' '3.0000' '1.5711\n']
11,[59824 59731],[58307 60637],1509855721415,['0.1154' '0.5305' '2.3376' '2.5000' '3.0000' '1.5711\n']
12,[59823 59731],[58307 60635],1509855721454,['0.1154' '0.5307' '2.3376' '1.2000' '1.7000' '1.5711\n']
13,[59824 59731],[58307 60636],1509855721456,['0.1154' '0.5305' '2.3377' '1.2000' '1.7000' '1.5711\n']
14,[59823 59730],[58307 60636],1509855721460,['0.1154' '0.5305' '2.3377' '1.2000' '1.7000' '1.5711\n']
15,[59823 59732],[58307 60636],1509855721466,['0.1154' '0.5305' '2.3376' '1.2000' '1.7000' '1.5711\n']
16,[59823 59732],[58307 60636],1509855721493,['0.1154' '0.5304' '2.3376' '1.2000' '1.7000' '1.5711\n']
17,[59823 59731],[58307 60636],1509855721494,['0.1154' '0.5305' '2.3376' '1.2000' '1.7000' '1.5711\n']
18,[59822 59730],[58307 60635],1509855721495,['0.1154' '0.5305' '2.3376' '1.2000' '1.7000' '1.5711\n']
19,[59824 59731],[58306 60636],1509855721495,['0.1154' '0.5305' '2.3376' '1.2000' '1.7000' '1.5711\n']
20,[59823 59731],[58307 60636],1509855721533,['0.1154' '0.5304' '2.3376' '1.2000' '1.7000' '1.5711\n']
21,[59825 59731],[58307 60636],1509855721534,['0.1151' '0.5304' '2.3376' '1.2000' '1.7000' '1.5711\n']
22,[59824 59732],[58306 60635],1509855721535,['0.1154' '0.5305' '2.3378' '1.2000' '1.7000' '1.5711\n']
23,[59823 59732],[58307 60636],1509855721535,['0.1154' '0.5305' '2.3376' '1.2000' '1.7000' '1.5711\n']
24,[59823 59731],[58308 60636],1509855721573,['0.1154' '0.5305' '2.3376' '1.2000' '1.7000' '1.5711\n']
25,[59824 59729],[58307 60636],1509855721574,['0.1154' '0.5305' '2.3376' '1.2000' '1.7000' '1.5711\n']
26,[59823 59730],[58306 60636],1509855721574,['0.1154' '0.5305' '2.3376' '1.2000' '1.7000' '1.5711\n']
27,[59824 59729],[58307 60635],1509855721575,['0.1154' '0.5305' '2.3376' '1.2000' '1.7000' '1.5711\n']
28,[59823 59732],[58306 60636],1509855721621,['0.1154' '0.5305' '2.3376' '1.2000' '1.7000' '1.5711\n']
29,[59823 59730],[58307 60636],1509855721621,['0.1154' '0.5305' '2.3376' '1.2000' '1.7000' '1.5711\n']
30,[59823 59731],[58307 60636],1509855721622,['0.1154' '0.5305' '2.3376' '1.2000' '1.7000' '1.5711\n']
31,[59823 59730],[58307 60636],1509855721622,['0.1154' '0.5304' '2.3376' '1.2000' '1.7000' '1.5711\n']
32,[59824 59730],[58307 60636],1509855721653,['0.1154' '0.5305' '2.3376' '1.2000' '1.7000' '1.5711\n']
33,[59824 59729],[58307 60635],1509855721654,['0.1154' '0.5305' '2.3377' '1.2000' '1.7000' '1.5711\n']
34,[59824 59730],[58307 60635],1509855721654,['0.1154' '0.5305' '2.3378' '1.2000' '1.7000' '1.5711\n']
35,[59824 59731],[58307 60635],1509855721655,['0.1154' '0.5305' '2.3376' '1.2000' '1.7000' '1.5711\n']
36,[59822 59730],[58306 60636],1509855721693,['0.1154' '0.5304' '2.3376' '1.2000' '1.7000' '1.5711\n']
37,[59823 59731],[58306 60636],1509855721694,['0.1154' '0.5304' '2.3376' '1.2000' '1.7000' '1.5711\n']
38,[59823 59730],[58306 60637],1509855721695,['0.1154' '0.5305' '2.3376' '1.2000' '1.7000' '1.5711\n']
39,[59824 59731],[58306 60635],1509855721697,['0.1154' '0.5304' '2.3376' '1.2000' '1.7000' '1.5711\n']
40,[59822 59732],[58307 60635],1509855721733,['0.1154' '0.5301' '2.3377' '1.2000' '1.7000' '1.5711\n']
41,[59823 59730],[58307 60635],1509855721734,['0.1154' '0.5305' '2.3377' '1.2000' '1.7000' '1.5711\n']
42,[59824 59730],[58307 60636],1509855721734,['0.1154' '0.5305' '2.3377' '1.2000' '1.7000' '1.5711\n']
43,[59823 59730],[58307 60637],1509855721735,['0.1154' '0.5305' '2.3376' '1.2000' '1.7000' '1.5711\n']
44,[59822 59731],[58307 60636],1509855721773,['0.1154' '0.5305' '2.3376' '1.2000' '1.7000' '1.5711\n']
45,[59823 59732],[58307 60636],1509855721774,['0.1154' '0.5305' '2.3378' '1.2000' '1.7000' '1.5711\n']
46,[59823 59731],[58307 60635],1509855721774,['0.1154' '0.5304' '2.3378' '1.2000' '1.7000' '1.5711\n']
47,[59824 59730],[58306 60636],1509855721775,['0.1154' '0.5301' '2.3378' '1.2000' '1.7000' '1.5711\n']
48,[59825 59731],[58308 60636],1509855721821,['0.1151' '0.5300' '2.3375' '1.2000' '1.7000' '1.5711\n']
49,[59824 59732],[58307 60636],1509855721822,['0.1213' '0.5383' '2.3338' '1.2000' '1.7000' '1.5711\n']
50,[59824 59730],[58306 60636],1509855721822,['0.2165' '0.6254' '2.3138' '1.2000' '1.7000' '1.5711\n']
51,[59823 59730],[58307 60635],1509855721823,['0.3593' '0.7318' '2.2725' '1.2000' '1.7000' '1.5711\n']
52,[59822 59731],[58306 60635],1509855721853,['0.4453' '0.8374' '2.2265' '1.2000' '1.7000' '1.5711\n']
53,[59823 59730],[58307 60635],1509855721854,['0.5140' '0.9403' '2.1649' '1.2000' '1.7000' '1.5711\n']
54,[59822 59730],[58307 60636],1509855721854,['0.5572' '1.0413' '2.0890' '1.2000' '1.7000' '1.5711\n']
55,[59822 59732],[58307 60636],1509855721855,['0.5942' '1.1486' '1.9977' '1.2000' '1.7000' '1.5711\n']
56,[59822 59731],[58306 60636],1509855721901,['0.6358' '1.2668' '1.9005' '1.2000' '1.7000' '1.5711\n']
57,[59823 59731],[58306 60634],1509855721901,['0.6662' '1.3695' '1.8061' '1.2000' '1.7000' '1.5711\n']
58,[59823 59730],[58308 60636],1509855721902,['0.6966' '1.4618' '1.7402' '1.2000' '1.7000' '1.5711\n']
59,[59823 59730],[58306 60636],1509855721902,['0.7231' '1.5309' '1.7063' '1.2000' '1.7000' '1.5711\n']
60,[59823 59732],[58307 60637],1509855721934,['0.7460' '1.5829' '1.6978' '1.2000' '1.7000' '1.5711\n']
61,[59823 59730],[58306 60636],1509855721935,['0.7676' '1.6136' '1.6816' '1.2000' '1.7000' '1.5711\n']
62,[59823 59730],[58307 60634],1509855721937,['0.7751' '1.6307' '1.6664' '1.2000' '1.7000' '1.5711\n']
63,[59823 59730],[58306 60635],1509855721944,['0.7826' '1.6428' '1.6549' '1.2000' '1.7000' '1.5711\n']
64,[59823 59730],[58307 60636],1509855721974,['0.7827' '1.6461' '1.6362' '1.2000' '1.7000' '1.5711\n']
65,[59823 59731],[58307 60636],1509855721975,['0.7843' '1.6457' '1.6250' '1.2000' '1.7000' '1.5711\n']
66,[59824 59731],[58307 60636],1509855721977,['0.7827' '1.6461' '1.6164' '1.2000' '1.7000' '1.5711\n']
67,[59823 59731],[58306 60635],1509855721984,['0.7797' '1.6457' '1.6090' '1.2000' '1.7000' '1.5711\n']
68,[59823 59731],[58307 60636],1509855722013,['0.7752' '1.6445' '1.6058' '1.2000' '1.7000' '1.5711\n']
69,[59823 59731],[58307 60636],1509855722014,['0.7706' '1.6428' '1.6052' '1.2000' '1.7000' '1.5711\n']
70,[59823 59730],[58307 60635],1509855722014,['0.7692' '1.6411' '1.6050' '1.2000' '1.7000' '1.5711\n']
71,[59824 59731],[58307 60636],1509855722015,['0.7676' '1.6399' '1.6020' '1.2000' '1.7000' '1.5711\n']
72,[59823 59731],[58306 60636],1509855722053,['0.7676' '1.6399' '1.5960' '1.2000' '1.7000' '1.5711\n']
73,[59823 59731],[58307 60636],1509855722054,['0.7676' '1.6399' '1.5911' '1.2000' '1.7000' '1.5711\n']
74,[59824 59730],[58307 60635],1509855722054,['0.7676' '1.6412' '1.5896' '1.2000' '1.7000' '1.5711\n']
75,[59825 59731],[58307 60635],1509855722055,['0.7673' '1.6428' '1.5913' '1.2000' '1.7000' '1.5711\n']
76,[59822 59732],[58307 60635],1509855722101,['0.7673' '1.6428' '1.5958' '1.2000' '1.7000' '1.5711\n']
77,[59823 59731],[58306 60636],1509855722101,['0.7676' '1.6445' '1.5958' '1.2000' '1.7000' '1.5711\n']
78,[59824 59731],[58307 60637],1509855722102,['0.7676' '1.6445' '1.5943' '1.2000' '1.7000' '1.5711\n']
79,[59822 59732],[58306 60636],1509855722102,['0.7676' '1.6445' '1.5881' '1.2000' '1.7000' '1.5711\n']
80,[59823 59730],[58306 60635],1509855722134,['0.7660' '1.6445' '1.5853' '1.2000' '1.7000' '1.5711\n']
81,[59823 59731],[58306 60637],1509855722135,['0.7660' '1.6457' '1.5845' '1.2000' '1.7000' '1.5711\n']
82,[59823 59731],[58306 60636],1509855722136,['0.7660' '1.6458' '1.5842' '1.2000' '1.7000' '1.5711\n']
83,[59823 59729],[58306 60636],1509855722138,['0.7660' '1.6457' '1.5836' '1.2000' '1.7000' '1.5711\n']
84,[59824 59730],[58307 60637],1509855722173,['0.7660' '1.6457' '1.5836' '1.2000' '1.7000' '1.5711\n']
85,[59822 59730],[58307 60635],1509855722174,['0.7660' '1.6457' '1.5836' '1.2000' '1.7000' '1.5711\n']
