,x,y,time,ard
50,[61168 61263],[58208 60602],1509856411860,['0.0171' '0.6440' '-1.0126' '1.2000' '1.7000' '-1.7792\n']
51,[61169 61263],[58208 60602],1509856411861,['0.0168' '0.6440' '-1.0126' '1.2000' '1.7000' '-1.7792\n']
52,[61169 61261],[58208 60602],1509856411865,['0.0165' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
53,[61167 61262],[58209 60602],1509856411871,['0.0158' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
54,[61170 61262],[58207 60602],1509856411899,['0.0158' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
55,[61170 61263],[58207 60602],1509856411901,['0.0155' '0.6440' '-1.0126' '1.2000' '1.7000' '-1.7792\n']
56,[61169 61263],[58208 60601],1509856411902,['0.0148' '0.6440' '-1.0125' '1.2000' '1.7000' '-1.7792\n']
57,[61168 61263],[58208 60601],1509856411910,['0.0145' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
58,[61170 61263],[58207 60601],1509856411939,['0.0142' '0.6440' '-1.0125' '1.2000' '1.7000' '-1.7792\n']
59,[61168 61263],[58209 60602],1509856411940,['0.0138' '0.6440' '-1.0126' '1.2000' '1.7000' '-1.7792\n']
60,[61168 61263],[58208 60603],1509856411940,['0.0138' '0.6440' '-1.0125' '1.2000' '1.7000' '-1.7792\n']
61,[61169 61262],[58207 60602],1509856411940,['0.0132' '0.6441' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
62,[61170 61262],[58207 60602],1509856411979,['0.0129' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
63,[61170 61262],[58207 60602],1509856411981,['0.0125' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
64,[61169 61262],[58208 60602],1509856411982,['0.0122' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
65,[61169 61263],[58209 60602],1509856411987,['0.0116' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
66,[61168 61263],[58209 60602],1509856412026,['0.0116' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
67,[61169 61263],[58207 60602],1509856412027,['0.0109' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
68,[61169 61263],[58208 60602],1509856412027,['0.0109' '0.6441' '-1.0125' '1.2000' '1.7000' '-1.7792\n']
69,[61169 61262],[58209 60603],1509856412027,['0.0106' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
70,[61169 61263],[58208 60601],1509856412059,['0.0099' '0.6441' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
71,[61168 61263],[58208 60603],1509856412059,['0.0299' '0.6699' '-1.0171' '1.2000' '1.7000' '-1.7792\n']
72,[61169 61262],[58207 60602],1509856412060,['0.0846' '0.7467' '-1.0372' '1.2000' '1.7000' '-1.7792\n']
73,[61168 61262],[58209 60602],1509856412060,['0.1287' '0.8295' '-1.0762' '1.2000' '1.7000' '-1.7792\n']
74,[61170 61263],[58207 60601],1509856412099,['0.1683' '0.9033' '-1.1323' '1.2000' '1.7000' '-1.7792\n']
75,[61170 61263],[58207 60602],1509856412099,['0.2033' '0.9863' '-1.2046' '1.2000' '1.7000' '-1.7792\n']
76,[61170 61262],[58208 60602],1509856412100,['0.2287' '1.0704' '-1.2926' '1.2000' '1.7000' '-1.7792\n']
77,[61169 61263],[58208 60602],1509856412100,['0.2271' '1.1674' '-1.3946' '1.2000' '1.7000' '-1.7792\n']
78,[61170 61263],[58207 60602],1509856412139,['0.2171' '1.2576' '-1.5029' '1.2000' '1.7000' '-1.7792\n']
79,[61167 61264],[58208 60602],1509856412139,['0.2029' '1.3374' '-1.5924' '1.2000' '1.7000' '-1.7792\n']
80,[61169 61262],[58208 60601],1509856412140,['0.1739' '1.3882' '-1.6540' '1.2000' '1.7000' '-1.7792\n']
81,[61168 61263],[58207 60602],1509856412140,['0.1169' '1.4099' '-1.6860' '1.2000' '1.7000' '-1.7792\n']
82,[61170 61262],[58207 60601],1509856412179,['0.0505' '1.4314' '-1.6962' '1.2000' '1.7000' '-1.7792\n']
83,[61170 61263],[58208 60602],1509856412179,['-0.0208' '1.4631' '-1.6970' '1.2000' '1.7000' '-1.7792\n']
84,[61170 61262],[58207 60602],1509856412180,['-0.0883' '1.5017' '-1.7039' '1.2000' '1.7000' '-1.7792\n']
85,[61170 61262],[58208 60601],1509856412180,['-0.1717' '1.5185' '-1.7176' '2.5000' '3.0000' '-1.7792\n']
86,[61168 61263],[58207 60602],1509856412227,['-0.2751' '1.6287' '-1.7329' '2.5000' '3.0000' '-1.7792\n']
87,[61172 61262],[58207 60602],1509856412227,['-0.2401' '1.7596' '-1.7476' '2.5000' '3.0000' '-1.7792\n']
88,[61170 61263],[58209 60602],1509856412228,['-0.1743' '1.8699' '-1.7791' '2.5000' '3.0000' '-1.7792\n']
89,[61170 61263],[58206 60602],1509856412228,['-0.2054' '1.9174' '-1.8212' '2.5000' '3.0000' '-1.7792\n']
90,[61170 61262],[58208 60601],1509856412259,['-0.1982' '1.9403' '-1.8611' '2.5000' '3.0000' '-1.7792\n']
91,[61170 61262],[58208 60602],1509856412259,['-0.1939' '1.9848' '-1.9041' '2.5000' '3.0000' '-1.7792\n']
92,[61169 61263],[58208 60601],1509856412260,['-0.1727' '2.0538' '-1.9393' '2.5000' '3.0000' '-1.7792\n']
93,[61169 61262],[58207 60602],1509856412260,['-0.1269' '2.1137' '-1.9684' '2.5000' '3.0000' '-1.7792\n']
94,[61168 61263],[58208 60601],1509856412299,['-0.1534' '2.1170' '-2.0007' '2.5000' '3.0000' '-1.7792\n']
95,[61168 61264],[58206 60601],1509856412300,['-0.1999' '2.1032' '-2.0215' '2.5000' '3.0000' '-1.7792\n']
96,[61170 61262],[58207 60602],1509856412301,['-0.2231' '2.0970' '-2.0345' '2.5000' '3.0000' '-1.7792\n']
