,x,y,time
0,[66020 75709 76739 86165],[43217 35229 69095 43530],1509230975465
1,[66018 75710 76735 86165],[43218 35231 69098 43532],1509230975474
2,[66018 75706 76735 86161],[43218 35230 69096 43528],1509230975484
3,[66017 75706 76735 86160],[43220 35231 69097 43530],1509230975494
4,[66021 75710 76735 86162],[43217 35230 69097 43529],1509230975504
5,[66021 75711 76734 86166],[43217 35231 69098 43532],1509230975514
6,[66020 75708 76735 86163],[43216 35230 69097 43529],1509230975524
7,[66019 75708 76737 86160],[43218 35231 69097 43530],1509230975535
8,[66019 75708 76737 86160],[43217 35231 69096 43528],1509230975544
9,[66021 75709 76738 86162],[43218 35233 69096 43531],1509230975554
10,[66025 75706 76735 86159],[43214 35234 69097 43526],1509230975564
11,[66019 75707 76735 86157],[43217 35233 69097 43528],1509230975574
12,[66020 75708 76736 86158],[43217 35232 69097 43527],1509230975584
13,[65956 75709 76747 86230],[43283 35232 69130 43610],1509230975595
14,[65778 75686 76732 86522],[43377 35038 69151 43806],1509230975604
15,[65398 75759 76721 86950],[43542 34601 69155 44082],1509230975615
16,[64994 75752 76695 87350],[43700 34043 69131 44348],1509230975624
17,[64575 75759 76678 87746],[43878 33316 69117 44630],1509230975634
18,[64225 75785 76660 88103],[44022 32416 69102 44881],1509230975644
19,[63959 75849 76643 88350],[44134 31437 69093 45066],1509230975654
20,[63792 75867 76631 88488],[44208 30433 69083 45180],1509230975664
21,[63714 75896 76629 88521],[44245 29369 69076 45214],1509230975675
22,[63734 75934 76635 88471],[44228 28215 69073 45169],1509230975685
23,[63853 75994 76640 88332],[44163 27016 69080 45053],1509230975696
24,[64061 76015 76649 88107],[44061 25822 69082 44879],1509230975704
25,[64363 76059 76674 87799],[43929 24633 69089 44645],1509230975715
26,[64758 76094 76692 87400],[43755 23393 69103 44364],1509230975725
27,[65286 76132 76714 86907],[43535 22079 69127 44028],1509230975734
28,[65968 76167 76747 86313],[43257 20704 69141 43636],1509230975746
29,[66798 76257 76773 85581],[42940 19309 69151 43194],1509230975754
30,[67784 76269 76800 84703],[42590 17920 69147 42707],1509230975764
31,[68877 76294 76826 83727],[42251 16580 69116 42184],1509230975775
32,[69602 76369 76668 83067],[41570 15392 68667 41481],1509230975784
33,[69104 76277 76466 83480],[40170 67248 14409 40280],1509230975795
34,[68130 75755 76535 84225],[38419 65417 13592 38954],1509230975804
35,[67794 75181 76575 84285],[37358 64410 12856 38178],1509230975815
36,[68319 74770 76565 83512],[37223 64519 12167 38020],1509230975824
37,[69009 74721 76518 82712],[37362 64786 11603 37906],1509230975835
38,[68872 75089 76395 82971],[36961 64259 11233 37348],1509230975844
39,[67100 75928 76357 85133],[35196 61714 11158 35592],1509230975854
40,[65209 76405 76923 87544],[32292 11321 57587 32536],1509230975864
41,[64318 76442 77755 88806],[29192 11528 53635 29063],1509230975876
42,[64344 76471 78318 88964],[26882 11753 51031 26263],1509230975884
43,[64607 76493 78635 88786],[25882 12013 49998 24928],1509230975894
44,[64672 76537 78681 88691],[25975 12369 50054 24913],1509230975904
45,[64617 76438 78345 88667],[26393 12868 50551 25561],1509230975915
46,[64604 76398 77857 88655],[26752 13437 51216 26400],1509230975924
47,[64645 76374 77447 88586],[27120 14143 51846 27150],1509230975935
48,[64675 76338 77184 88488],[27490 15013 52424 27817],1509230975945
49,[64783 76269 77068 88368],[28072 16014 53094 28491],1509230975955
50,[64793 76236 77043 88267],[28853 17058 53908 29248],1509230975964
