,x,y,time,ard
61,[50265 50583 61485],[50475 61036 61241],1509850215549,[ 0.0108  0.6381  1.2     1.7   ]
62,[50266 50583 61486],[50474 61035 61240],1509850215550,[ 0.0108  0.6377  1.2     1.7   ]
63,[50265 50582 61485],[50473 61037 61240],1509850215565,[ 0.0111  0.6382  1.2     1.7   ]
64,[50266 50591 61486],[50473 61043 61241],1509850215566,[ 0.0108  0.6378  1.2     1.7   ]
65,[50264 50582 61485],[50475 61035 61240],1509850215581,[ 0.0111  0.6378  1.2     1.7   ]
66,[50265 50584 61485],[50473 61036 61240],1509850215597,[ 0.0111  0.6377  1.2     1.7   ]
67,[50263 50590 61485],[50474 61041 61240],1509850215598,[ 0.0111  0.6378  1.2     1.7   ]
68,[50265 50583 61485],[50474 61035 61240],1509850215613,[ 0.0108  0.6378  1.2     1.7   ]
69,[50265 50581 61485],[50474 61036 61240],1509850215629,[ 0.0111  0.6381  1.2     1.7   ]
70,[50265 50581 61485],[50473 61036 61240],1509850215630,[ 0.0111  0.6382  1.2     1.7   ]
71,[50266 50583 61486],[50474 61037 61240],1509850215645,[ 0.0108  0.6378  1.2     1.7   ]
72,[50265 50590 61485],[50473 61043 61240],1509850215646,[ 0.0111  0.6381  1.2     1.7   ]
73,[50265 50582 61486],[50473 61035 61240],1509850215661,[ 0.0111  0.6377  1.2     1.7   ]
74,[50265 50581 61485],[50472 61035 61240],1509850215677,[ 0.0111  0.6378  1.2     1.7   ]
75,[50267 50582 61486],[50474 61037 61240],1509850215678,[ 0.0108  0.6378  1.2     1.7   ]
76,[50266 50591 61486],[50474 61042 61240],1509850215693,[ 0.0108  0.6378  1.2     1.7   ]
77,[50266 50591 61486],[50474 61043 61240],1509850215709,[ 0.0111  0.6381  1.2     1.7   ]
78,[50265 50583 61485],[50473 61036 61240],1509850215710,[ 0.0111  0.6378  1.2     1.7   ]
79,[50266 50590 61485],[50474 61041 61240],1509850215725,[ 0.0108  0.6378  1.2     1.7   ]
80,[50265 50591 61485],[50473 61042 61240],1509850215726,[ 0.0108  0.6378  1.2     1.7   ]
81,[50264 50582 61486],[50472 61035 61241],1509850215741,[ 0.0108  0.6378  1.2     1.7   ]
82,[50264 50592 61486],[50475 61042 61240],1509850215757,[ 0.0111  0.6378  1.2     1.7   ]
83,[50266 50592 61487],[50472 61042 61240],1509850215758,[ 0.0108  0.6378  1.2     1.7   ]
84,[50266 50582 61485],[50474 61035 61240],1509850215773,[ 0.0108  0.6378  1.2     1.7   ]
85,[50267 50590 61486],[50474 61042 61240],1509850215789,[ 0.0111  0.6378  1.2     1.7   ]
86,[50265 50592 61485],[50474 61043 61240],1509850215789,[ 0.0111  0.6378  1.2     1.7   ]
87,[50267 50584 61485],[50473 61037 61240],1509850215805,[ 0.0111  0.6378  1.2     1.7   ]
88,[50265 50583 61486],[50474 61035 61240],1509850215806,[ 0.0111  0.6378  1.2     1.7   ]
89,[50265 50584 61485],[50473 61036 61240],1509850215821,[ 0.0111  0.6378  1.2     1.7   ]
90,[50264 50584 61480],[50473 61036 61238],1509850215837,[ 0.0111  0.6378  1.2     1.7   ]
91,[50265 50583 61486],[50473 61036 61240],1509850215838,[ 0.0111  0.6378  1.2     1.7   ]
92,[50264 50582 61485],[50474 61035 61239],1509850215853,[ 0.0108  0.6378  1.2     1.7   ]
93,[50266 50582 61486],[50473 61036 61240],1509850215869,[ 0.0111  0.6378  1.2     1.7   ]
94,[50266 50581 61486],[50473 61037 61240],1509850215870,[ 0.0111  0.6378  1.2     1.7   ]
95,[50265 50590 61486],[50473 61042 61239],1509850215885,[ 0.0108  0.6378  1.2     1.7   ]
96,[50265 50591 61486],[50473 61041 61239],1509850215886,[ 0.0111  0.6378  1.2     1.7   ]
97,[50266 50590 61485],[50473 61042 61240],1509850215901,[ 0.0111  0.6382  1.2     1.7   ]
98,[50265 50579 61486],[50474 61036 61240],1509850215917,[ 0.0111  0.6378  1.2     1.7   ]
99,[50266 50582 61485],[50475 61035 61240],1509850215918,[ 0.0108  0.6378  1.2     1.7   ]
100,[50264 50590 61486],[50473 61041 61240],1509850215933,[ 0.0108  0.6378  1.2     1.7   ]
101,[50265 50582 61484],[50474 61035 61240],1509850215949,[ 0.0108  0.6381  1.2     1.7   ]
102,[50266 50584 61486],[50474 61036 61241],1509850215950,[ 0.0108  0.6382  1.2     1.7   ]
103,[50266 50583 61486],[50474 61036 61239],1509850215965,[ 0.0108  0.6378  1.2     1.7   ]
104,[50265 50582 61487],[50475 61036 61239],1509850215966,[ 0.0108  0.6378  1.2     1.7   ]
105,[50265 50583 61486],[50474 61035 61239],1509850215981,[ 0.0111  0.6378  1.2     1.7   ]
106,[50264 50580 61486],[50474 61036 61240],1509850215997,[ 0.0111  0.6378  1.2     1.7   ]
107,[50267 50592 61485],[50474 61043 61240],1509850215998,[ 0.0108  0.6381  1.2     1.7   ]
108,[50266 50583 61486],[50474 61036 61240],1509850216013,[ 0.0111  0.6381  1.2     1.7   ]
109,[50266 50590 61485],[50473 61041 61239],1509850216027,[ 0.0111  0.6381  1.2     1.7   ]
110,[50264 50591 61484],[50472 61042 61240],1509850216028,[ 0.0111  0.6378  2.5     3.    ]
111,[50265 50581 61487],[50473 61035 61240],1509850216043,[ 0.0111  0.6381  2.5     3.    ]
112,[50265 50590 61485],[50474 61041 61240],1509850216044,[ 0.0111  0.6378  2.5     3.    ]
113,[50266 50590 61485],[50473 61042 61239],1509850216059,[ 0.0108  0.6377  2.5     3.    ]
114,[50265 50582 61486],[50473 61036 61240],1509850216075,[ 0.0111  0.6378  2.5     3.    ]
115,[50265 50591 61486],[50472 61043 61239],1509850216076,[ 0.0111  0.6381  2.5     3.    ]
116,[50266 50582 61480],[50473 61036 61238],1509850216091,[ 0.0108  0.6381  2.5     3.    ]
117,[50264 50582 61487],[50473 61035 61240],1509850216107,[ 0.0108  0.6378  2.5     3.    ]
118,[50266 50583 61485],[50473 61036 61240],1509850216108,[ 0.0111  0.6378  2.5     3.    ]
119,[50265 50582 61485],[50474 61035 61241],1509850216123,[ 0.0111  0.6378  2.5     3.    ]
120,[50265 50582 61485],[50475 61035 61240],1509850216124,[ 0.0108  0.6378  2.5     3.    ]
121,[50266 50580 61485],[50473 61035 61240],1509850216139,[ 0.0108  0.6378  2.5     3.    ]
122,[50265 50593 61485],[50474 61042 61240],1509850216155,[ 0.0111  0.6378  2.5     3.    ]
123,[50265 50590 61485],[50474 61043 61240],1509850216156,[ 0.0108  0.6378  2.5     3.    ]
124,[50266 50582 61486],[50474 61035 61239],1509850216171,[ 0.0111  0.6378  2.5     3.    ]
125,[50265 50590 61484],[50473 61041 61240],1509850216186,[ 0.0111  0.6378  2.5     3.    ]
126,[50265 50583 61486],[50473 61035 61240],1509850216187,[ 0.0111  0.6381  2.5     3.    ]
127,[50264 50581 61485],[50474 61036 61240],1509850216202,[ 0.0111  0.6378  2.5     3.    ]
128,[50266 50582 61486],[50475 61036 61240],1509850216203,[ 0.0108  0.6378  2.5     3.    ]
129,[50267 50581 61486],[50473 61035 61240],1509850216219,[ 0.0108  0.6378  2.5     3.    ]
130,[50266 50582 61486],[50474 61034 61240],1509850216234,[ 0.0111  0.6378  2.5     3.    ]
131,[50266 50591 61485],[50473 61041 61240],1509850216235,[ 0.0108  0.6378  2.5     3.    ]
132,[50267 50582 61485],[50473 61036 61240],1509850216250,[ 0.0108  0.6378  2.5     3.    ]
133,[50265 50582 61486],[50472 61036 61240],1509850216266,[ 0.0111  0.6378  2.5     3.    ]
134,[50266 50591 61486],[50473 61043 61239],1509850216267,[ 0.0108  0.6378  2.5     3.    ]
135,[50264 50583 61486],[50474 61035 61239],1509850216282,[ 0.011   0.6378  1.2     1.7   ]
136,[50266 50591 61486],[50472 61042 61239],1509850216283,[ 0.0108  0.6381  1.2     1.7   ]
137,[50266 50590 61485],[50472 61041 61240],1509850216298,[ 0.0111  0.6382  1.2     1.7   ]
138,[50265 50580 61486],[50474 61034 61239],1509850216314,[ 0.0111  0.6382  1.2     1.7   ]
139,[50264 50582 61486],[50474 61035 61239],1509850216315,[ 0.0108  0.6378  1.2     1.7   ]
140,[50266 50591 61486],[50473 61043 61240],1509850216331,[ 0.0111  0.6378  1.2     1.7   ]
141,[50266 50581 61485],[50473 61035 61240],1509850216347,[ 0.0111  0.6378  1.2     1.7   ]
142,[50265 50582 61484],[50473 61036 61240],1509850216347,[ 0.0111  0.6378  1.2     1.7   ]
143,[50265 50581 61486],[50472 61036 61240],1509850216362,[ 0.0111  0.6378  1.2     1.7   ]
144,[50266 50582 61484],[50473 61035 61240],1509850216363,[ 0.0108  0.6378  1.2     1.7   ]
145,[50267 50581 61486],[50474 61036 61240],1509850216379,[ 0.0111  0.6382  1.2     1.7   ]
146,[50264 50581 61485],[50474 61035 61239],1509850216395,[ 0.0111  0.6381  1.2     1.7   ]
147,[50265 50582 61486],[50473 61036 61240],1509850216395,[ 0.0108  0.6381  1.2     1.7   ]
148,[50265 50583 61480],[50473 61035 61238],1509850216411,[ 0.0111  0.6381  1.2     1.7   ]
149,[50266 50581 61486],[50473 61036 61240],1509850216427,[ 0.0108  0.6378  1.2     1.7   ]
150,[50265 50871 50576 61485],[50474 61637 61028 61239],1509850216427,[ 0.0108  0.6378  1.2     1.7   ]
151,[50266 50584 61486],[50473 61036 61240],1509850216443,[ 0.0108  0.6378  1.2     1.7   ]
152,[50265 50582 61486],[50475 61035 61240],1509850216444,[ 0.0108  0.6378  1.2     1.7   ]
153,[50264 50582 61486],[50473 61036 61240],1509850216459,[ 0.0111  0.6378  1.2     1.7   ]
154,[50267 50580 61486],[50473 61035 61240],1509850216475,[ 0.0108  0.6378  1.2     1.7   ]
155,[50265 50583 61485],[50474 61036 61239],1509850216475,[ 0.0108  0.6378  1.2     1.7   ]
156,[50267 50585 61486],[50473 61035 61239],1509850216491,[ 0.0111  0.6378  1.2     1.7   ]
157,[50265 50581 61485],[50475 61036 61240],1509850216507,[ 0.0108  0.6378  1.2     1.7   ]
158,[50265 50591 61486],[50473 61041 61240],1509850216507,[ 0.0111  0.6378  1.2     1.7   ]
159,[50265 50584 61486],[50472 61036 61240],1509850216523,[ 0.0111  0.6378  1.2     1.7   ]
160,[50265 50592 61486],[50474 61043 61239],1509850216524,[ 0.0111  0.6378  1.2     1.7   ]
161,[50264 50581 61485],[50473 61036 61239],1509850216539,[ 0.0111  0.6378  1.2     1.7   ]
162,[50265 50593 61485],[50474 61041 61240],1509850216558,[ 0.0111  0.6378  1.2     1.7   ]
163,[50252 50582 61486],[50473 61035 61240],1509850216559,[ 0.0111  0.6381  1.2     1.7   ]
164,[50265 50590 61486],[50474 61043 61240],1509850216571,[ 0.0111  0.6378  1.2     1.7   ]
165,[50266 50591 61486],[50473 61041 61240],1509850216587,[ 0.0111  0.6378  1.2     1.7   ]
166,[50267 50591 61486],[50474 61042 61239],1509850216587,[ 0.0108  0.6378  1.2     1.7   ]
167,[50266 50581 61486],[50473 61036 61240],1509850216603,[ 0.0111  0.6378  1.2     1.7   ]
168,[50266 50584 61485],[50474 61037 61240],1509850216604,[ 0.0111  0.6378  1.2     1.7   ]
169,[50265 50581 61485],[50474 61036 61240],1509850216619,[ 0.0111  0.6378  1.2     1.7   ]
170,[50265 50582 61486],[50473 61035 61240],1509850216634,[ 0.0108  0.6378  1.2     1.7   ]
171,[50266 50582 61486],[50473 61035 61240],1509850216635,[ 0.0111  0.6378  1.2     1.7   ]
172,[50266 50594 61486],[50473 61043 61241],1509850216650,[ 0.0111  0.6378  1.2     1.7   ]
173,[50266 50583 61486],[50473 61036 61240],1509850216666,[ 0.0111  0.6378  1.2     1.7   ]
174,[50266 50582 61486],[50473 61036 61239],1509850216667,[ 0.0111  0.6381  1.2     1.7   ]
175,[50264 50590 61486],[50473 61042 61240],1509850216683,[ 0.0111  0.6378  1.2     1.7   ]
176,[50265 50591 61486],[50473 61041 61240],1509850216684,[ 0.0111  0.6378  1.2     1.7   ]
177,[50265 50591 61485],[50474 61043 61240],1509850216699,[ 0.0108  0.6378  1.2     1.7   ]
178,[50265 50582 61485],[50473 61035 61240],1509850216715,[ 0.0111  0.6378  1.2     1.7   ]
179,[50265 50583 61486],[50473 61035 61240],1509850216715,[ 0.0108  0.6378  1.2     1.7   ]
180,[50266 50593 61485],[50474 61042 61240],1509850216731,[ 0.0111  0.6378  1.2     1.7   ]
181,[50265 50582 61484],[50474 61035 61240],1509850216747,[ 0.0108  0.6381  1.2     1.7   ]
182,[50265 50590 61486],[50473 61041 61240],1509850216747,[ 0.0108  0.6378  1.2     1.7   ]
183,[50267 50581 61486],[50474 61035 61240],1509850216763,[ 0.0111  0.6381  1.2     1.7   ]
184,[50265 50591 61486],[50474 61042 61239],1509850216764,[ 0.0108  0.6382  1.2     1.7   ]
185,[50266 50583 61486],[50474 61035 61240],1509850216779,[ 0.0108  0.6378  2.5     3.    ]
186,[50265 50582 61486],[50473 61035 61240],1509850216795,[ 0.0111  0.6378  2.5     3.    ]
187,[50265 50583 61486],[50473 61034 61240],1509850216795,[ 0.0108  0.6381  2.5     3.    ]
188,[50266 50582 61486],[50473 61035 61240],1509850216811,[ 0.0111  0.6378  2.5     3.    ]
