,x,y,time
0,[65353 65689 77800],[68326 55668 68918],1509230484095
1,[65342 65688 77800],[68331 55668 68918],1509230484105
2,[65342 65689 77800],[68330 55667 68918],1509230484115
3,[65341 65688 77800],[68332 55667 68918],1509230484124
4,[65353 65689 77801],[68327 55668 68917],1509230484134
5,[65352 65690 77800],[68326 55667 68918],1509230484145
6,[65353 65688 77800],[68326 55668 68918],1509230484155
7,[65341 65688 77801],[68331 55667 68917],1509230484165
8,[65344 65688 77799],[68332 55667 68918],1509230484175
9,[65344 65688 77800],[68332 55668 68919],1509230484184
10,[65352 65688 77800],[68326 55668 68917],1509230484198
11,[65342 65689 77801],[68332 55668 68918],1509230484205
12,[65345 65688 77800],[68331 55667 68918],1509230484215
13,[65344 65688 77800],[68334 55668 68918],1509230484225
14,[65351 65688 77800],[68325 55668 68919],1509230484235
15,[65343 65688 77800],[68332 55667 68918],1509230484244
16,[65343 65689 77801],[68332 55667 68918],1509230484254
17,[65343 65689 77800],[68330 55667 68918],1509230484265
18,[65352 65688 77799],[68327 55668 68918],1509230484275
19,[65344 65688 77800],[68332 55668 68918],1509230484284
20,[65344 65688 77802],[68332 55668 68918],1509230484294
21,[65342 65688 77800],[68331 55668 68918],1509230484304
22,[65343 65688 77800],[68332 55667 68917],1509230484314
23,[65354 65688 77800],[68326 55667 68918],1509230484324
24,[65344 65688 77799],[68331 55667 68917],1509230484335
25,[65352 65688 77801],[68326 55667 68918],1509230484346
26,[65345 65689 77800],[68330 55667 68917],1509230484355
27,[65345 65687 77801],[68331 55667 68918],1509230484364
28,[65351 65688 77800],[68327 55668 68918],1509230484374
29,[65353 65688 77800],[68326 55668 68918],1509230484385
30,[65352 65688 77800],[68326 55667 68919],1509230484394
31,[65343 65688 77799],[68332 55668 68918],1509230484404
32,[65343 65687 77801],[68332 55668 68917],1509230484415
33,[65342 65688 77801],[68332 55668 68918],1509230484424
34,[65344 65689 77801],[68331 55668 68918],1509230484434
35,[65345 65689 77800],[68331 55668 68918],1509230484444
36,[65345 65688 77800],[68332 55667 68918],1509230484455
37,[65344 65687 77799],[68331 55668 68918],1509230484464
38,[65344 65688 77800],[68332 55668 68918],1509230484475
39,[65351 65688 77800],[68326 55668 68919],1509230484484
40,[65346 65688 77802],[68332 55668 68918],1509230484495
41,[65350 65689 77800],[68327 55667 68918],1509230484505
42,[65351 65689 77800],[68327 55667 68918],1509230484514
43,[65353 65689 77799],[68327 55668 68918],1509230484525
44,[65347 65688 77800],[68331 55668 68919],1509230484535
45,[65343 65689 77800],[68332 55668 68918],1509230484544
46,[65345 65689 77800],[68330 55668 68918],1509230484555
47,[65344 65687 77800],[68331 55667 68918],1509230484564
48,[65346 65688 77799],[68332 55667 68918],1509230484574
49,[65352 65687 77800],[68326 55668 68919],1509230484584
50,[65344 65688 77801],[68332 55668 68917],1509230484595
51,[65345 65689 77802],[68331 55667 68917],1509230484605
52,[65344 65688 77800],[68332 55667 68919],1509230484614
53,[65344 65688 77800],[68333 55667 68918],1509230484625
54,[65346 65689 77799],[68331 55667 68917],1509230484635
55,[65352 65689 77800],[68327 55668 68918],1509230484645
56,[65343 65687 77801],[68333 55668 68919],1509230484655
57,[65342 65688 77800],[68332 55668 68918],1509230484664
58,[65344 65689 77800],[68332 55668 68918],1509230484674
59,[65343 65689 77801],[68331 55667 68918],1509230484685
60,[65342 65688 77800],[68332 55667 68919],1509230484695
61,[65344 65688 77799],[68330 55668 68918],1509230484704
62,[65344 65689 77801],[68331 55668 68918],1509230484715
63,[65353 65689 77800],[68325 55668 68918],1509230484724
64,[65345 65688 77800],[68333 55668 68918],1509230484734
65,[65344 65688 77800],[68329 55667 68918],1509230484745
66,[65346 65688 77800],[68331 55668 68918],1509230484755
67,[65343 65689 77801],[68332 55668 68918],1509230484765
68,[65342 65689 77800],[68331 55667 68919],1509230484775
69,[65352 65689 77800],[68326 55668 68919],1509230484784
70,[65343 65688 77800],[68334 55668 68919],1509230484796
71,[65344 65688 77800],[68332 55668 68918],1509230484804
72,[65342 65688 77799],[68332 55668 68918],1509230484814
73,[65346 65688 77799],[68332 55668 68918],1509230484825
74,[65345 65688 77800],[68330 55668 68918],1509230484835
75,[65352 65688 77800],[68327 55667 68918],1509230484845
76,[65344 65689 77800],[68332 55668 68918],1509230484855
77,[65347 65689 77801],[68331 55668 68919],1509230484865
78,[65345 65689 77802],[68332 55668 68918],1509230484875
79,[65344 65688 77801],[68331 55668 68917],1509230484885
80,[65343 65688 77801],[68331 55668 68918],1509230484895
81,[65344 65688 77799],[68331 55668 68919],1509230484905
82,[65344 65688 77800],[68332 55669 68918],1509230484914
83,[65344 65688 77801],[68332 55667 68918],1509230484925
84,[65353 65687 77799],[68326 55668 68918],1509230484934
85,[65352 65689 77800],[68327 55667 68918],1509230484944
86,[65352 65688 77800],[68326 55667 68919],1509230484954
87,[65341 65688 77800],[68332 55668 68919],1509230484968
88,[65342 65689 77800],[68332 55668 68917],1509230484976
89,[65344 65688 77800],[68331 55668 68918],1509230484985
90,[65346 65688 77800],[68331 55667 68918],1509230484995
91,[65343 65688 77800],[68331 55668 68919],1509230485005
92,[65345 65687 77800],[68332 55667 68918],1509230485016
93,[65341 65688 77800],[68331 55667 68917],1509230485025
94,[65351 65688 77799],[68325 55667 68918],1509230485035
95,[65343 65688 77801],[68331 55668 68918],1509230485045
96,[65352 65688 77799],[68326 55668 68918],1509230485054
97,[65343 65687 77800],[68331 55668 68919],1509230485065
98,[65345 65689 77800],[68333 55668 68918],1509230485075
99,[65351 65689 77800],[68328 55668 68919],1509230485085
100,[65352 65688 77799],[68328 55667 68918],1509230485095
101,[65351 65688 77799],[68327 55668 68918],1509230485105
102,[65343 65688 77800],[68331 55668 68919],1509230485114
103,[65343 65688 77800],[68333 55668 68919],1509230485126
104,[65352 65688 77800],[68327 55668 68918],1509230485135
105,[65344 65688 77799],[68333 55668 68919],1509230485145
106,[65352 65687 77801],[68326 55668 68917],1509230485155
107,[65343 65689 77800],[68331 55668 68918],1509230485165
108,[65352 65688 77800],[68326 55668 68918],1509230485174
109,[65351 65689 77800],[68326 55667 68918],1509230485184
110,[65344 65688 77800],[68331 55668 68919],1509230485194
111,[65345 65689 77800],[68331 55667 68919],1509230485204
112,[65353 65687 77799],[68327 55667 68918],1509230485215
113,[65345 65688 77799],[68330 55667 68919],1509230485224
114,[65352 65689 77801],[68327 55668 68918],1509230485234
115,[65351 65689 77800],[68327 55668 68918],1509230485244
116,[65344 65688 77801],[68330 55668 68918],1509230485255
117,[65344 65687 77801],[68332 55668 68918],1509230485265
118,[65344 65688 77799],[68332 55667 68919],1509230485274
119,[65354 65689 77800],[68327 55668 68919],1509230485284
120,[65351 65688 77800],[68327 55668 68917],1509230485295
121,[65343 65689 77800],[68331 55668 68919],1509230485304
122,[65342 65688 77799],[68332 55668 68918],1509230485314
123,[65344 65688 77799],[68331 55668 68918],1509230485325
