,x,y,time,ard
4590,[54440 60751 61267 67452],[33842 54136 56260 33719],1509856713300,['1.1218' '1.6460' '-2.4694' '2.5000' '3.0000' '-2.4698\n']
4591,[54126 60326 60606 60944 67588],[33184 53321 53918 55638 33217],1509856713339,['1.2089' '1.7241' '-2.4693' '2.5000' '3.0000' '-2.4698\n']
4592,[54025 60026 60632 67508],[32839 53014 55348 32964],1509856713341,['1.3028' '1.8102' '-2.4694' '2.5000' '3.0000' '-2.4698\n']
4593,[53325 59775 60447 68038],[32143 52117 54454 32365],1509856713341,['1.3902' '1.8947' '-2.4694' '2.5000' '3.0000' '-2.4698\n']
4594,[52132 59627 60409 69171],[30751 50340 52658 31177],1509856713342,['1.4778' '1.9801' '-2.4693' '2.5000' '3.0000' '-2.4698\n']
4595,[51060 59580 60479 70268],[29026 48211 50507 29664],1509856713371,['1.5636' '2.0669' '-2.4694' '2.5000' '3.0000' '-2.4698\n']
4596,[50450 59662 60638 71010],[27410 46219 48517 28097],1509856713373,['1.6297' '2.1537' '-2.4695' '2.5000' '3.0000' '-2.4698\n']
4597,[50206 59819 60835 71381],[26129 44728 47010 26731],1509856713374,['1.7280' '2.2382' '-2.4561' '2.5000' '3.0000' '-2.4698\n']
4598,[50227 60040 61075 71506],[25328 43837 46109 25764],1509856713380,['1.8061' '2.3210' '-2.4694' '2.5000' '3.0000' '-2.4698\n']
4599,[50349 60296 61342 71508],[24970 43436 45696 25191],1509856713412,['1.8859' '2.4269' '-2.4633' '2.5000' '3.0000' '-2.4698\n']
4600,[50478 60529 61583 71457],[24997 43424 45674 24998],1509856713413,['1.9685' '2.4943' '-2.4693' '2.5000' '3.0000' '-2.4698\n']
4601,[50592 60707 61774 71415],[25323 43714 45970 25158],1509856713413,['2.0532' '2.5863' '-2.4694' '2.5000' '3.0000' '-2.4698\n']
4602,[50670 60832 61898 71389],[25878 44230 46490 25596],1509856713414,['2.1389' '2.6815' '-2.4694' '2.5000' '3.0000' '-2.4698\n']
4603,[50778 60920 61976 71337],[26615 44916 47165 26221],1509856713452,['2.2296' '2.7826' '-2.4694' '2.5000' '3.0000' '-2.4698\n']
4604,[50778 60920 61970 71257],[27389 45687 47937 26968],1509856713454,['2.3277' '2.8870' '-2.4693' '2.5000' '3.0000' '-2.4698\n']
4605,[50799 60883 61921 71182],[28232 46581 48822 27854],1509856713455,['2.4245' '2.9865' '-2.4779' '2.5000' '3.0000' '-2.4698\n']
4606,[50848 60818 61862 71114],[29172 47613 49834 28874],1509856713458,['2.5150' '3.0792' '-2.4695' '2.5000' '3.0000' '-2.4698\n']
4607,[50885 60729 61769 71058],[30213 48763 50961 30038],1509856713491,['2.5532' '3.1081' '-2.4694' '2.5000' '3.0000' '-2.4698\n']
4608,[50887 60638 61680 71002],[31385 50018 52196 31312],1509856713492,['2.5117' '3.0361' '-2.4715' '2.5000' '3.0000' '-2.4698\n']
4609,[50868 60725 61621 70955],[32693 51516 53532 32698],1509856713494,['2.4536' '2.9336' '-2.4694' '2.5000' '3.0000' '-2.4698\n']
4610,[50892 60659 61555 70926],[34108 52873 54974 34189],1509856713499,['2.4504' '2.9223' '-2.4695' '2.5000' '3.0000' '-2.4698\n']
4611,[50904 60530 61490 70899],[35634 54365 56522 35766],1509856713531,['2.5104' '2.9878' '-2.4777' '1.2000' '1.7000' '-2.4698\n']
4612,[50913 60430 61427 70868],[37269 55998 58170 37430],1509856713532,['2.5286' '2.9963' '-2.4734' '1.2000' '1.7000' '-2.4698\n']
