,x,y,time
114,[64273 64652 76710],[67660 55023 68318],1509232141991
115,[64274 64652 76712],[67660 55022 68318],1509232142002
116,[64273 64653 76710],[67661 55022 68319],1509232142010
117,[64274 64652 76710],[67659 55023 68319],1509232142020
118,[64275 64652 76711],[67658 55022 68319],1509232142030
119,[64274 64651 76710],[67659 55022 68319],1509232142040
120,[64274 64652 76711],[67658 55023 68318],1509232142050
121,[64274 64652 76709],[67660 55022 68319],1509232142060
122,[64274 64653 76711],[67659 55021 68318],1509232142070
123,[64273 64654 76710],[67660 55022 68318],1509232142080
124,[64272 64652 76710],[67659 55022 68319],1509232142090
125,[64274 64652 76709],[67659 55022 68318],1509232142100
126,[64274 64653 76710],[67659 55022 68318],1509232142111
127,[64273 64653 76711],[67660 55022 68318],1509232142120
128,[64272 64653 76711],[67660 55021 68318],1509232142130
129,[64272 64653 76711],[67660 55021 68318],1509232142140
130,[64272 64652 76710],[67659 55021 68319],1509232142150
131,[64273 64652 76711],[67659 55021 68319],1509232142160
132,[64273 64653 76710],[67659 55021 68318],1509232142170
133,[64272 64653 76712],[67660 55021 68318],1509232142180
134,[64275 64653 76711],[67659 55021 68318],1509232142190
135,[64275 64653 76711],[67659 55021 68318],1509232142200
136,[64274 64652 76711],[67659 55021 68318],1509232142210
137,[64273 64652 76711],[67659 55021 68318],1509232142220
138,[64273 64652 76710],[67660 55021 68319],1509232142230
139,[64274 64652 76712],[67660 55021 68317],1509232142240
140,[64274 64652 76711],[67659 55020 68319],1509232142250
141,[64273 64653 76710],[67660 55021 68317],1509232142260
142,[64273 64653 76711],[67660 55021 68318],1509232142270
143,[64272 64652 76710],[67658 55021 68318],1509232142280
144,[64272 64653 76711],[67659 55021 68318],1509232142290
145,[64273 64653 76710],[67660 55021 68319],1509232142300
146,[64274 64653 76710],[67659 55021 68317],1509232142310
147,[64273 64652 76709],[67660 55021 68318],1509232142321
148,[64271 64652 76710],[67660 55021 68319],1509232142330
149,[64274 64653 76710],[67659 55022 68318],1509232142340
150,[64273 64653 76709],[67659 55021 68318],1509232142350
151,[64273 64652 76709],[67659 55021 68318],1509232142360
152,[64273 64652 76711],[67660 55021 68319],1509232142371
153,[64272 64652 76710],[67659 55021 68318],1509232142380
154,[64272 64652 76711],[67660 55022 68319],1509232142390
155,[64267 64652 76711],[67660 55021 68319],1509232142400
156,[64270 64651 76710],[67660 55021 68318],1509232142410
