,x,y,time
91,[63008 72861 73327 82887],[43964 35845 69043 44241],1509129412080
92,[62992 72865 73329 82911],[43974 35843 69045 44249],1509129412091
93,[62985 72862 73328 82916],[43977 35831 69044 44251],1509129412101
94,[62988 72860 73328 82911],[43974 35832 69046 44248],1509129412110
95,[63008 72862 73327 82892],[43969 35850 69046 44245],1509129412122
96,[63025 72867 73328 82877],[43967 35873 69047 44239],1509129412130
97,[63026 72865 73329 82871],[43963 35874 69048 44234],1509129412140
98,[63019 72857 73339 82866],[43965 35869 69060 44231],1509129412150
99,[63020 72857 73328 82870],[43964 35870 69046 44232],1509129412160
100,[63023 72864 73328 82876],[43966 35872 69045 44238],1509129412170
101,[63016 72865 73328 82882],[43966 35863 69046 44240],1509129412180
102,[63004 72861 73329 82890],[43971 35852 69046 44241],1509129412191
103,[63004 72859 73329 82883],[43970 35852 69043 44243],1509129412200
104,[63010 72866 73328 82894],[43969 35857 69044 44243],1509129412211
105,[63008 72864 73328 82898],[43969 35855 69046 44242],1509129412220
106,[63000 72859 73330 82884],[43971 35851 69047 44242],1509129412230
107,[63006 72856 73329 82879],[43970 35856 69047 44240],1509129412240
108,[63012 72863 73329 82888],[43968 35861 69045 44242],1509129412250
109,[63013 72866 73329 82885],[43967 35858 69047 44244],1509129412265
110,[63006 72861 73329 82885],[43970 35854 69046 44243],1509129412270
111,[63007 72859 73337 82881],[43970 35857 69058 44241],1509129412280
112,[63010 72863 73328 82886],[43969 35859 69047 44242],1509129412291
113,[63009 72864 73328 82885],[43970 35855 69047 44244],1509129412301
114,[63004 72860 73327 82881],[43970 35854 69046 44242],1509129412311
115,[63007 72859 73328 82878],[43969 35858 69046 44241],1509129412320
116,[63010 72863 73328 82883],[43969 35859 69047 44242],1509129412331
117,[63010 72864 73329 82892],[43970 35855 69046 44243],1509129412341
118,[63004 72861 73329 82888],[43969 35854 69047 44242],1509129412351
119,[63004 72860 73330 82890],[43969 35856 69045 44240],1509129412360
120,[63011 72864 73327 82883],[43970 35857 69046 44243],1509129412370
121,[63009 72863 73332 82894],[43969 35855 69046 44241],1509129412380
122,[63007 72860 73328 82882],[43969 35855 69048 44243],1509129412390
123,[63008 72860 73330 82880],[43969 35857 69046 44241],1509129412400
124,[63011 72864 73331 82884],[43969 35858 69047 44243],1509129412410
125,[63008 72863 73331 82893],[43969 35856 69047 44242],1509129412424
126,[63005 72860 73340 82884],[43970 35856 69058 44244],1509129412430
127,[63008 72861 73329 82883],[43969 35856 69047 44242],1509129412440
128,[63008 72863 73331 82883],[43968 35855 69046 44243],1509129412450
129,[63011 72862 73343 82885],[43966 35854 69059 44242],1509129412460
130,[63008 72861 73330 82882],[43969 35857 69047 44242],1509129412470
131,[63008 72860 73330 82880],[43969 35858 69046 44242],1509129412480
132,[63007 72860 73328 82882],[43969 35856 69046 44242],1509129412490
133,[63009 72863 73341 82884],[43967 35854 69060 44243],1509129412500
134,[63007 72862 73341 82891],[43970 35856 69060 44241],1509129412511
135,[63009 72862 73332 82884],[43968 35855 69046 44242],1509129412520
136,[63006 72861 73328 82880],[43969 35855 69045 44241],1509129412530
137,[63009 72861 73330 82880],[43968 35856 69047 44241],1509129412540
138,[63009 72863 73342 82883],[43968 35857 69060 44243],1509129412550
139,[63009 72862 73343 82883],[43968 35857 69058 44241],1509129412560
140,[63007 72860 73341 82881],[43969 35855 69058 44241],1509129412570
141,[63009 72861 73331 82882],[43968 35856 69049 44241],1509129412580
