,x,y,time
93,[65868 76193 76762 86436],[43309 20939 69140 43691],1509230776841
94,[66674 76259 76786 85729],[42992 19548 69149 43254],1509230776850
95,[67637 76283 76816 84874],[42652 18158 69150 42779],1509230776860
96,[68746 76313 76846 83904],[42284 16796 69129 42263],1509230776870
97,[69630 76381 76783 83105],[41751 15565 68824 41618],1509230776880
98,[69348 76490 76462 83353],[40480 67560 14535 40482],1509230776890
99,[68339 76032 76543 84161],[38768 65688 13676 39103],1509230776900
100,[67818 75401 76579 84395],[37435 64426 12923 38178],1509230776910
101,[68206 74857 76615 83695],[37156 64393 12221 37966],1509230776921
102,[68958 74634 76537 82800],[37268 64711 11628 37892],1509230776930
103,[69018 74930 76430 82759],[37029 64395 11222 37457],1509230776943
104,[67625 75678 76367 84466],[35703 62452 11066 36070],1509230776950
105,[65617 76393 76676 87031],[32962 11181 58547 33259],1509230776960
106,[64470 76479 77552 88629],[29763 11364 54402 29811],1509230776970
107,[64374 76538 78193 89017],[27148 11598 51372 26698],1509230776980
108,[64667 76566 78631 88838],[25806 11869 49943 24911],1509230776990
109,[64757 76586 78771 88680],[25737 12212 49800 24619],1509230777000
110,[64664 76483 78540 88640],[26249 12662 50319 25235],1509230777011
111,[64598 76422 78071 88631],[26717 13195 51034 26143],1509230777020
112,[64618 76360 77589 88574],[27083 13870 51686 26941],1509230777030
113,[64655 76307 77230 88480],[27402 14716 52242 27618],1509230777040
114,[64762 76280 77039 88372],[27836 15685 52845 28258],1509230777050
115,[64849 76278 77001 88291],[28516 16688 53594 28971],1509230777060
116,[64893 76256 77042 88243],[29403 17722 54510 29831],1509230777070
117,[64917 76240 77090 88211],[30464 18888 55579 30843],1509230777080
118,[64950 76219 77145 88211],[31663 20189 56778 32013],1509230777090
119,[64987 76214 77176 88194],[33004 21621 58118 33336],1509230777100
120,[64952 76192 77112 88134],[34438 23175 59585 34818],1509230777110
121,[64913 76132 77018 88047],[35986 24842 61172 36434],1509230777120
122,[64880 76081 76925 87948],[37651 26625 62857 38163],1509230777130
123,[64810 75994 76834 87854],[39432 28516 64635 40001],1509230777140
124,[64708 75917 76749 87768],[41329 30475 66513 41928],1509230777150
125,[64630 75827 76655 87685],[43308 32530 68502 43939],1509230777160
126,[65331 75715 76670 86784],[43566 34626 69113 44044],1509230777171
127,[67047 75638 76817 84691],[43079 36431 69263 43007],1509230777180
128,[69840 75593 76951],[42268 37703 69318],1509230777190
129,[75659 77020],[38157 69350],1509230777200
130,[70073 75492 76940],[42133 37771 69251],1509230777210
131,[68480 75673 76862 82580],[42543 37213 69216 42075],1509230777220
132,[67404 75613 76780 84165],[42783 36490 69122 42585],1509230777230
133,[66610 75694 76725 85296],[42983 35760 69057 43040],1509230777240
134,[66072 75747 76706 86072],[43152 35176 69026 43404],1509230777251
135,[65757 75795 76695 86577],[43257 34739 69008 43655],1509230777261
136,[65547 75815 76701 86870],[43340 34455 69005 43827],1509230777270
137,[65405 75831 76695 87020],[43405 34308 69009 43960],1509230777280
138,[65333 75839 76692 87044],[43445 34272 69016 44001],1509230777290
139,[65327 75847 76695 86992],[43460 34328 69026 43998],1509230777300
140,[65380 75815 76698 86897],[43454 34444 69039 43956],1509230777310
141,[65471 75773 76701 86754],[43424 34586 69050 43879],1509230777320
142,[65580 75728 76713 86581],[43391 34750 69065 43781],1509230777330
143,[65727 75698 76722 86405],[43338 34912 69081 43677],1509230777340
144,[65942 75721 76734 86285],[43264 35097 69094 43603],1509230777350
145,[66132 75776 76745 86162],[43195 35264 69104 43531],1509230777360
146,[66239 75770 76749 86032],[43159 35379 69108 43460],1509230777370
147,[66265 75737 76750 85936],[43149 35421 69110 43409],1509230777380
148,[66262 75705 76746 85886],[43150 35435 69108 43382],1509230777390
149,[66258 75711 76746 85897],[43150 35431 69104 43389],1509230777400
150,[66247 75738 76745 85956],[43147 35405 69100 43416],1509230777410
151,[66208 75746 76743 86018],[43159 35349 69096 43442],1509230777420
152,[66150 75734 76740 86059],[43178 35296 69094 43464],1509230777430
153,[66104 75724 76737 86090],[43195 35264 69091 43485],1509230777440
154,[66081 75730 76736 86123],[43203 35242 69089 43503],1509230777450
155,[66068 75737 76739 86148],[43207 35221 69088 43516],1509230777460
156,[66055 75736 76736 86158],[43211 35206 69089 43522],1509230777470
157,[66055 75731 76736 86151],[43213 35210 69089 43519],1509230777480
158,[66063 75731 76737 86144],[43211 35223 69090 43517],1509230777490
159,[66072 75734 76737 86140],[43209 35231 69092 43513],1509230777500
160,[66076 75732 76736 86136],[43207 35233 69094 43510],1509230777510
161,[66076 75729 76740 86128],[43207 35237 69092 43507],1509230777520
162,[66078 75729 76736 86124],[43207 35242 69093 43507],1509230777531
163,[66081 75732 76736 86129],[43206 35240 69093 43508],1509230777540
164,[66078 75733 76736 86135],[43207 35233 69093 43510],1509230777550
165,[66075 75732 76739 86136],[43208 35231 69092 43509],1509230777560
166,[66075 75732 76738 86135],[43208 35234 69092 43511],1509230777570
167,[66076 75731 76737 86135],[43208 35235 69092 43511],1509230777580
168,[66074 75730 76737 86134],[43208 35232 69093 43510],1509230777590
169,[66073 75727 76738 86132],[43209 35233 69092 43509],1509230777600
170,[66076 75731 76737 86133],[43209 35236 69093 43509],1509230777610
171,[66078 75733 76741 86136],[43207 35234 69091 43511],1509230777620
172,[66077 75733 76739 86136],[43207 35234 69092 43512],1509230777630
173,[66075 75732 76739 86133],[43208 35233 69091 43510],1509230777640
174,[66077 75732 76737 86132],[43207 35235 69093 43509],1509230777650
175,[66077 75731 76738 86134],[43207 35235 69093 43510],1509230777660
176,[66074 75731 76738 86134],[43209 35234 69094 43509],1509230777670
177,[66074 75727 76738 86132],[43208 35235 69091 43508],1509230777680
178,[66075 75731 76738 86133],[43208 35235 69093 43509],1509230777690
179,[66077 75733 76738 86134],[43206 35235 69091 43510],1509230777700
180,[66083 75733 76738 86134],[43204 35235 69092 43506],1509230777710
181,[66083 75733 76740 86129],[43204 35239 69092 43506],1509230777720
