,x,y,time,ard
0,[62648 63119],[58311 60708],1509851364175,[ 2.2987  2.9207  2.5     3.    ]
1,[62645 63114],[58298 60701],1509851364191,[ 2.4292  3.0364  2.5     3.    ]
2,[62649 63120],[58309 60709],1509851364207,[ 2.5382  3.1359  2.5     3.    ]
3,[62662 63126],[58325 60719],1509851364208,[ 2.5535  3.1083  2.5     3.    ]
4,[62660 63124],[58319 60716],1509851364223,[ 2.4781  2.9673  2.5     3.    ]
5,[62651 63121],[58309 60710],1509851364239,[ 2.4381  2.8641  2.5     3.    ]
6,[62651 63121],[58311 60709],1509851364240,[ 2.495   2.9086  2.5     3.    ]
7,[62651 63120],[58317 60712],1509851364255,[ 2.5964  3.0086  2.5     3.    ]
8,[62660 63123],[58317 60713],1509851364256,[ 2.6239  3.0589  2.5     3.    ]
9,[62660 63123],[58316 60713],1509851364272,[ 2.5229  3.0102  2.5     3.    ]
10,[62660 63121],[58315 60711],1509851364288,[ 2.4094  2.9441  1.2     1.7   ]
11,[62661 63123],[58315 60711],1509851364288,[ 2.3265  2.8824  1.2     1.7   ]
12,[62653 63124],[58314 60713],1509851364304,[ 2.0808  2.6569  1.2     1.7   ]
13,[62661 63122],[58317 60715],1509851364319,[ 1.7509  2.3514  1.2     1.7   ]
14,[62652 63123],[58314 60711],1509851364320,[ 1.4106  2.0435  1.2     1.7   ]
15,[62653 63122],[58314 60712],1509851364336,[ 1.1203  1.7715  1.2     1.7   ]
16,[62662 63123],[58317 60713],1509851364337,[ 0.9593  1.6076  1.2     1.7   ]
17,[62662 63123],[58317 60714],1509851364352,[ 0.9282  1.5597  1.2     1.7   ]
18,[62662 63123],[58314 60711],1509851364368,[ 0.9913  1.5643  1.2     1.7   ]
19,[62660 63123],[58316 60713],1509851364368,[ 1.0728  1.6013  1.2     1.7   ]
20,[62661 63123],[58317 60712],1509851364384,[ 1.151   1.6367  1.2     1.7   ]
21,[62659 63122],[58313 60711],1509851364399,[ 1.2034  1.6675  1.2     1.7   ]
22,[62653 63122],[58313 60713],1509851364400,[ 1.231  1.692  1.2    1.7  ]
23,[62661 63124],[58318 60714],1509851364416,[ 1.2371  1.7028  1.2     1.7   ]
24,[62662 63124],[58316 60712],1509851364416,[ 1.2369  1.7058  1.2     1.7   ]
25,[62661 63124],[58317 60712],1509851364432,[ 1.2307  1.7058  1.2     1.7   ]
26,[62662 63124],[58317 60713],1509851364448,[ 1.2263  1.7042  1.2     1.7   ]
27,[62652 63123],[58315 60713],1509851364448,[ 1.2234  1.7028  1.2     1.7   ]
28,[62653 63123],[58312 60711],1509851364464,[ 1.2201  1.7012  1.2     1.7   ]
29,[62662 63125],[58316 60713],1509851364479,[ 1.2155  1.6996  1.2     1.7   ]
30,[62653 63124],[58314 60713],1509851364480,[ 1.2139  1.6995  1.2     1.7   ]
31,[62660 63122],[58315 60712],1509851364496,[ 1.2139  1.7012  1.2     1.7   ]
32,[62663 63124],[58317 60712],1509851364496,[ 1.2139  1.7024  1.2     1.7   ]
33,[62662 63124],[58317 60713],1509851364512,[ 1.2123  1.6933  1.2     1.7   ]
34,[62662 63123],[58316 60712],1509851364528,[ 0.8886  1.4079  1.2     1.7   ]
35,[62661 63124],[58316 60713],1509851364528,[ 0.5682  1.1521  1.2     1.7   ]
36,[62662 63123],[58317 60714],1509851364544,[ 0.1597  0.8696  1.2     1.7   ]
37,[62662 63124],[58316 60713],1509851364559,[ 0.0098  0.7897  1.2     1.7   ]
38,[62662 63124],[58315 60711],1509851364560,[ 0.1676  0.9279  1.2     1.7   ]
39,[62662 63124],[58316 60714],1509851364576,[ 0.4267  1.093   1.2     1.7   ]
40,[62662 63125],[58316 60713],1509851364576,[ 0.6202  1.2161  1.2     1.7   ]
41,[62662 63123],[58316 60713],1509851364592,[ 0.7797  1.3388  1.2     1.7   ]
42,[62662 63123],[58316 60714],1509851364609,[ 0.8841  1.437   1.2     1.7   ]
43,[62661 63124],[58316 60713],1509851364610,[ 0.9684  1.509   1.2     1.7   ]
44,[62654 63124],[58313 60712],1509851364625,[ 1.0283  1.566   1.2     1.7   ]
45,[62653 63125],[58313 60713],1509851364641,[ 1.0804  1.603   1.2     1.7   ]
46,[62661 63123],[58317 60713],1509851364642,[ 1.1173  1.6321  1.2     1.7   ]
47,[62661 63123],[58315 60713],1509851364657,[ 1.1403  1.6471  1.2     1.7   ]
48,[62662 63124],[58315 60713],1509851364658,[ 1.151   1.6504  1.2     1.7   ]
49,[62663 63125],[58317 60714],1509851364673,[ 1.1495  1.6504  1.2     1.7   ]
50,[62663 63123],[58316 60713],1509851364689,[ 1.1311  1.6354  1.2     1.7   ]
51,[62662 63124],[58316 60712],1509851364690,[ 1.1033  1.6105  1.2     1.7   ]
52,[62654 63124],[58314 60713],1509851364705,[ 1.0682  1.583   1.2     1.7   ]
53,[62661 63124],[58316 60713],1509851364721,[ 1.0296  1.5489  1.2     1.7   ]
54,[62653 63125],[58314 60713],1509851364722,[ 0.9901  1.5093  1.2     1.7   ]
55,[62662 63125],[58317 60713],1509851364744,[ 0.9456  1.4707  1.2     1.7   ]
56,[62662 63125],[58317 60714],1509851364745,[ 0.9027  1.4354  1.2     1.7   ]
57,[62661 63123],[58316 60713],1509851364753,[ 0.8686  1.408   1.2     1.7   ]
58,[62662 63123],[58316 60714],1509851364769,[ 0.8441  1.3896  1.2     1.7   ]
59,[62655 63125],[58315 60713],1509851364770,[ 0.8301  1.3789  1.2     1.7   ]
60,[62662 63124],[58316 60713],1509851364785,[ 0.8271  1.3758  1.2     1.7   ]
61,[62663 63125],[58316 60713],1509851364801,[ 0.8304  1.3788  1.2     1.7   ]
62,[62663 63125],[58316 60713],1509851364801,[ 0.8425  1.39    1.2     1.7   ]
63,[62662 63125],[58316 60714],1509851364817,[ 0.8595  1.4021  1.2     1.7   ]
64,[62663 63125],[58316 60713],1509851364817,[ 0.8748  1.4158  1.2     1.7   ]
65,[62662 63123],[58317 60714],1509851364833,[ 0.8916  1.4299  1.2     1.7   ]
66,[62643 63132],[58323 60718],1509851364849,[ 0.9072  1.442   1.2     1.7   ]
67,[55581 62377 63075],[38651 58586 60784],1509851364850,[ 0.9178  1.4524  1.2     1.7   ]
