,x,y,time
0,[65628 76233 76752 86631],[43421 21355 69130 43841],1509230661838
1,[66397 76264 76783 85965],[43115 19946 69143 43413],1509230661838
2,[67323 76343 76811 85161],[42773 18538 69150 42945],1509230661838
3,[68393 76358 76836 84217],[42403 17152 69129 42434],1509230661839
4,[69470 76425 76835 83263],[42004 15869 69005 41866],1509230661839
5,[69612 76493 76604 83132],[40969 14779 68070 40900],1509230661839
6,[68673 76183 76586 83926],[39278 66240 13877 39511],1509230661848
7,[67848 75558 76642 84485],[37638 64580 13097 38332],1509230661858
8,[67952 74919 76647 84041],[37033 64179 12363 37929],1509230661868
9,[68753 74573 76626 83002],[37168 64601 11697 37907],1509230661878
10,[69188 74756 76515 82526],[37168 64613 11205 37631],1509230661894
11,[68378 75385 76401 83607],[36301 63377 10945 36654],1509230661899
12,[66261 76385 76441 86230],[33909 59901 11004 34238],1509230661908
13,[64729 76507 77350 88265],[30727 11171 55600 30857],1509230661917
14,[64347 76567 78035 89022],[27806 11381 52108 27523],1509230661928
15,[64595 76610 78454 88954],[26005 11626 50204 25315],1509230661937
16,[64754 76646 78616 88766],[25570 11940 49739 24664],1509230661947
17,[64703 76541 78460 88673],[25943 12347 50084 25039],1509230661958
18,[64606 76457 78082 88646],[26418 12839 50719 25829],1509230661969
19,[64613 76393 77660 88595],[26811 13459 51374 26594],1509230661978
20,[64658 76370 77329 88526],[27155 14240 51939 27277],1509230661988
21,[64748 76378 77126 88434],[27544 15174 52513 27913],1509230661998
22,[64844 76352 77059 88341],[28166 16167 53214 28608],1509230662007
23,[64879 76320 77061 88268],[28993 17180 54076 29410],1509230662018
24,[64896 76295 77084 88217],[30000 18298 55099 30377],1509230662027
25,[64913 76259 77113 88197],[31149 19558 56253 31497],1509230662038
26,[64969 76245 77159 88193],[32444 20946 57547 32768],1509230662047
27,[64960 76266 77158 88172],[33859 22448 58982 34202],1509230662058
28,[64919 76209 77091 88103],[35378 24067 60534 35772],1509230662069
29,[64876 76147 76990 87997],[37006 25806 62189 37446],1509230662077
30,[64810 76084 76871 87884],[38713 27666 63923 39243],1509230662087
31,[64735 75978 76753 87779],[40550 29633 65764 41154],1509230662098
32,[64634 75892 76628 87686],[42507 31674 67721 43169],1509230662107
33,[64579 75789 76614 87446],[44014 33790 69193 44642],1509230662117
34,[66423 75689 76706 85470],[43116 35678 69117 43250],1509230662128
35,[68777 75692 76832 82817],[42541 37261 69290 42251],1509230662139
36,[70313 75766 76950],[42217 37970 69381],1509230662148
37,[69949 75593 76810],[42154 37588 69230],1509230662157
38,[68301 75658 76741 82851],[42514 36928 69156 42138],1509230662168
39,[67138 75636 76702 84539],[42875 36287 69118 42813],1509230662178
