,x,y,time
93,[66106 75688 76814 86159],[42620 34733 68613 42899],1509232338057
94,[66105 75688 76813 86158],[42621 34733 68614 42899],1509232338067
95,[66105 75688 76815 86159],[42621 34733 68613 42899],1509232338077
96,[66103 75688 76813 86160],[42622 34733 68615 42899],1509232338087
97,[66105 75688 76815 86161],[42620 34732 68613 42900],1509232338097
98,[65816 75665 76826 86474],[42865 34655 68701 43226],1509232338107
99,[65624 75714 76804 86780],[42891 34286 68669 43359],1509232338117
100,[65247 75731 76794 87199],[43039 33775 68656 43619],1509232338127
101,[64819 75746 76776 87614],[43218 33112 68641 43902],1509232338137
102,[64427 75754 76760 88003],[43391 32267 68629 44177],1509232338147
103,[64117 75818 76748 88314],[43525 31296 68624 44398],1509232338157
104,[63919 75860 76739 88512],[43608 30278 68613 44543],1509232338167
105,[63816 75894 76734 88585],[43656 29219 68606 44612],1509232338177
106,[63808 75910 76730 88568],[43655 28080 68602 44597],1509232338188
107,[63901 75969 76733 88459],[43601 26871 68604 44499],1509232338197
108,[64097 76015 76743 88261],[43502 25634 68607 44333],1509232338207
109,[64383 76058 76760 87971],[43371 24409 68611 44114],1509232338217
110,[64769 76095 76774 87597],[43202 23161 68620 43851],1509232338227
111,[65278 76141 76791 87120],[42987 21839 68635 43525],1509232338237
112,[65949 76179 76821 86531],[42714 20427 68650 43131],1509232338247
113,[66789 76229 76844 85807],[42385 18977 68657 42674],1509232338257
114,[67794 76284 76867 84931],[42024 17545 68655 42182],1509232338268
115,[68921 76303 76887 83944],[41657 16162 68624 41653],1509232338277
116,[69818 76418 76728 83139],[41054 14928 68297 41010],1509232338287
117,[69501 76323 76534 83421],[39726 66994 13902 39852],1509232338297
118,[68389 75825 76586 84317],[37855 65008 13035 38414],1509232338307
119,[67788 75256 76599 84633],[36462 63627 12236 37373],1509232338317
120,[68202 74804 76588 83891],[36218 63624 11470 37129],1509232338328
121,[69119 74602 76483 82806],[36472 64112 10841 37126],1509232338337
122,[69347 74832 76379 82670],[36303 63911 10448 36783],1509232338347
123,[68168 75511 76465 84214],[35154 62279 10307 35637],1509232338357
124,[66040 76515 76458 86834],[32553 58568 10391 33022],1509232338367
125,[64597 76467 77482 88699],[29101 10598 54012 29257],1509232338377
126,[64500 76499 78158 89036],[25515 10906 50012 25119],1509232338387
127,[65440 76538 78499 88020],[22696 11295 47486 21743],1509232338397
128,[66350 76556 78600 86923],[21448 11680 46581 20147],1509232338407
129,[66487 76549 79236 78515 86723],[21616 12080 46165 46826 20289],1509232338417
130,[66153 76446 78275 87088],[22488 12566 47682 21430],1509232338427
131,[65773 76324 77908 87562],[23630 13206 48844 23005],1509232338437
132,[65537 76351 77496 87962],[24820 13997 50119 24706],1509232338447
133,[65375 76345 77122 88206],[25959 14921 51369 26319],1509232338457
134,[65293 76318 76874 88310],[27067 15923 52552 27727],1509232338467
135,[65217 76261 76733 88346],[28139 16964 53675 28939],1509232338477
136,[65197 76242 76690 88304],[29235 18133 54797 30050],1509232338487
137,[65161 76215 76674 88247],[30403 19443 55992 31211],1509232338497
138,[65159 76177 76706 88200],[31723 20888 57304 32497],1509232338507
139,[65153 76147 76783 88150],[33201 22442 58775 33913],1509232338517
140,[65109 76081 76877 88098],[34857 24105 60394 35491],1509232338527
141,[65038 76023 76927 88015],[36676 25892 62137 37222],1509232338537
142,[64921 75951 76921 87926],[38568 27808 63963 39092],1509232338547
143,[64837 75894 76862 87829],[40532 29858 65902 41079],1509232338557
144,[64756 75833 76746 87740],[42569 32022 67948 43177],1509232338567
145,[65380 75704 76756 86872],[42992 34193 68646 43465],1509232338577
146,[67290 75698 76861 84465],[42366 36017 68752 42253],1509232338587
147,[70228 75516 77031],[41562 37337 68817],1509232338597
148,[75568 77068],[37792 68821],1509232338607
149,[75440 77010],[37518 68734],1509232338617
150,[69384 75585 76947],[41693 37095 68718],1509232338627
