,x,y,time,ard
0,[61171 61359],[58130 60541],1509856925163,['\x00\n']
1,[61168 61360],[58130 60542],1509856925164,['-0.0061' '0.6500' '-1.0439' '1.2000' '1.7000' '-2.4698\n']
2,[61169 61360],[58130 60541],1509856925200,"['-0.0061' '0.6501' '-1.0438' '1.2000' '1.700\xb0-0.0061' '0.6503' '2.0976'
 '2.5000' '3.0000' '0.0000\n']"
3,[61170 61360],[58128 60541],1509856925201,['-0.0061' '0.6504' '2.0975' '2.5000' '3.0000' '0.0000\n']
4,[61170 61358],[58130 60540],1509856925239,['-0.0061' '0.6503' '2.0977' '2.5000' '3.0000' '1.3310\n']
5,[61169 61360],[58130 60542],1509856925240,['-0.0061' '0.6499' '2.0977' '2.5000' '3.0000' '1.3310\n']
6,[61168 61360],[58128 60540],1509856925240,['-0.0061' '0.6500' '2.0975' '2.5000' '3.0000' '1.3310\n']
7,[61170 61360],[58127 60541],1509856925241,['-0.0061' '0.6503' '2.0975' '2.5000' '3.0000' '1.3310\n']
8,[61169 61360],[58129 60542],1509856925288,['-0.0061' '0.6499' '2.0977' '2.5000' '3.0000' '1.3310\n']
9,[61168 61359],[58130 60541],1509856925288,['-0.0061' '0.6504' '2.0977' '2.5000' '3.0000' '1.3310\n']
10,[61171 61360],[58129 60540],1509856925289,['-0.0061' '0.6501' '2.0977' '2.5000' '3.0000' '1.3310\n']
11,[61171 61360],[58130 60540],1509856925289,['-0.0061' '0.6500' '2.0975' '2.5000' '3.0000' '1.3310\n']
12,[61169 61359],[58130 60541],1509856925319,['-0.0061' '0.6503' '2.0977' '1.2000' '1.7000' '1.3310\n']
13,[61170 61361],[58130 60541],1509856925320,['-0.0061' '0.6501' '2.0974' '1.2000' '1.7000' '1.3310\n']
14,[61169 61360],[58128 60541],1509856925320,['-0.0061' '0.6500' '2.0975' '1.2000' '1.7000' '1.3310\n']
15,[61170 61358],[58128 60540],1509856925321,['-0.0061' '0.6500' '2.0975' '1.2000' '1.7000' '1.3310\n']
16,[61169 61360],[58131 60541],1509856925361,['-0.0061' '0.6503' '2.0975' '1.2000' '1.7000' '1.3310\n']
17,[61171 61359],[58129 60541],1509856925363,['-0.0061' '0.6499' '2.0974' '1.2000' '1.7000' '1.3310\n']
18,[61171 61358],[58130 60540],1509856925364,['-0.0061' '0.6500' '2.0977' '1.2000' '1.7000' '1.3310\n']
19,[61169 61359],[58131 60540],1509856925368,['-0.0061' '0.6500' '2.0977' '1.2000' '1.7000' '1.3310\n']
20,[61170 61358],[58131 60541],1509856925400,['-0.0061' '0.6504' '2.0977' '1.2000' '1.7000' '1.3310\n']
21,[61166 61358],[58129 60543],1509856925401,['-0.0061' '0.6500' '2.0975' '1.2000' '1.7000' '1.3310\n']
22,[61169 61358],[58130 60542],1509856925402,['-0.0061' '0.6503' '2.0975' '1.2000' '1.7000' '1.3310\n']
23,[61168 61359],[58130 60540],1509856925403,['-0.0064' '0.6503' '2.0975' '1.2000' '1.7000' '1.3310\n']
24,[61167 61358],[58130 60541],1509856925440,['-0.0061' '0.6504' '2.0975' '1.2000' '1.7000' '1.3310\n']
25,[61170 61359],[58130 60541],1509856925441,['-0.0061' '0.6504' '2.0975' '1.2000' '1.7000' '1.3310\n']
26,[61169 61358],[58130 60541],1509856925441,['-0.0065' '0.6504' '2.0974' '1.2000' '1.7000' '1.3310\n']
27,[61169 61359],[58129 60543],1509856925442,['-0.0061' '0.6500' '2.0976' '1.2000' '1.7000' '1.3310\n']
28,[61168 61357],[58130 60540],1509856925488,['-0.0061' '0.6503' '2.0976' '1.2000' '1.7000' '1.3310\n']
29,[61169 61359],[58131 60543],1509856925488,['-0.0061' '0.6500' '2.0976' '1.2000' '1.7000' '1.3310\n']
30,[61168 61359],[58131 60541],1509856925489,['-0.0065' '0.6500' '2.0975' '1.2000' '1.7000' '1.3310\n']
31,[61168 61358],[58130 60542],1509856925489,['-0.0061' '0.6504' '2.0975' '1.2000' '1.7000' '1.3310\n']
32,[61168 61358],[58131 60540],1509856925521,['-0.0061' '0.6503' '2.0975' '1.2000' '1.7000' '1.3310\n']
33,[61168 61359],[58130 60541],1509856925522,['-0.0065' '0.6504' '2.0977' '1.2000' '1.7000' '1.3310\n']
34,[61168 61358],[58130 60541],1509856925522,['-0.0061' '0.6499' '2.0977' '1.2000' '1.7000' '1.3310\n']
35,[61167 61361],[58130 60541],1509856925523,['-0.0061' '0.6504' '2.0977' '1.2000' '1.7000' '1.3310\n']
36,[61169 61357],[58129 60541],1509856925560,['-0.0061' '0.6503' '2.0975' '1.2000' '1.7000' '1.3310\n']
37,[61168 61357],[58130 60542],1509856925561,['-0.0061' '0.6503' '2.0975' '1.2000' '1.7000' '1.3310\n']
38,[61170 61359],[58131 60542],1509856925561,['-0.0061' '0.6504' '2.0977' '1.2000' '1.7000' '1.3310\n']
39,[61172 61359],[58130 60541],1509856925562,['-0.0061' '0.6500' '2.0975' '1.2000' '1.7000' '1.3310\n']
40,[61167 61356],[58130 60542],1509856925600,['-0.0061' '0.6504' '2.0975' '1.2000' '1.7000' '1.3310\n']
41,[61168 61359],[58129 60542],1509856925601,['-0.0061' '0.6500' '2.0975' '1.2000' '1.7000' '1.3310\n']
42,[61171 61356],[58131 60541],1509856925601,['-0.0061' '0.6504' '2.0975' '1.2000' '1.7000' '1.3310\n']
43,[61168 61358],[58129 60542],1509856925602,['-0.0061' '0.6499' '2.0974' '1.2000' '1.7000' '1.3310\n']
44,[61169 61359],[58129 60542],1509856925640,['-0.0061' '0.6500' '2.0975' '1.2000' '1.7000' '1.3310\n']
45,[61169 61358],[58130 60543],1509856925641,['-0.0061' '0.6500' '2.0977' '1.2000' '1.7000' '1.3310\n']
46,[61169 61359],[58130 60541],1509856925641,['-0.0061' '0.6503' '2.0975' '1.2000' '1.7000' '1.3310\n']
47,[61169 61359],[58130 60542],1509856925642,['-0.0065' '0.6500' '2.0975' '1.2000' '1.7000' '1.3310\n']
48,[61171 61358],[58130 60542],1509856925680,['-0.0061' '0.6500' '2.0975' '1.2000' '1.7000' '1.3310\n']
49,[61171 61359],[58130 60542],1509856925681,['-0.0061' '0.6500' '2.0975' '1.2000' '1.7000' '1.3310\n']
50,[61170 61355],[58129 60541],1509856925681,['-0.0061' '0.6499' '2.0975' '1.2000' '1.7000' '1.3310\n']
51,[61168 61360],[58130 60541],1509856925682,['-0.0061' '0.6499' '2.0977' '1.2000' '1.7000' '1.3310\n']
52,[61167 61358],[58129 60541],1509856925720,['-0.0061' '0.6499' '2.0974' '1.2000' '1.7000' '1.3310\n']
53,[61168 61355],[58129 60543],1509856925721,['-0.0061' '0.6503' '2.0975' '1.2000' '1.7000' '1.3310\n']
54,[61170 61358],[58129 60539],1509856925721,['-0.0065' '0.6500' '2.0975' '1.2000' '1.7000' '1.3310\n']
55,[61168 61360],[58130 60541],1509856925722,['-0.0061' '0.6504' '2.0975' '1.2000' '1.7000' '1.3310\n']
56,[61170 61358],[58131 60541],1509856925760,['-0.0061' '0.6503' '2.0975' '1.2000' '1.7000' '1.3310\n']
57,[61170 61359],[58129 60541],1509856925761,['-0.0065' '0.6503' '2.0975' '1.2000' '1.7000' '1.3310\n']
58,[61168 61354],[58128 60539],1509856925761,['0.0586' '0.7040' '2.0844' '1.2000' '1.7000' '1.3310\n']
59,[61169 61360],[58130 60541],1509856925761,['0.2088' '0.8235' '2.0523' '1.2000' '1.7000' '1.3310\n']
60,[61170 61358],[58130 60541],1509856925800,['0.2978' '0.9340' '2.0024' '1.2000' '1.7000' '1.3310\n']
61,[61168 61360],[58130 60541],1509856925801,['0.3760' '1.0431' '1.9386' '1.2000' '1.7000' '1.3310\n']
62,[61169 61358],[58130 60541],1509856925801,['0.4330' '1.1490' '1.8620' '1.2000' '1.7000' '1.3310\n']
63,[61168 61360],[58129 60541],1509856925802,['0.4810' '1.2566' '1.7664' '1.2000' '1.7000' '1.3310\n']
64,[61169 61359],[58130 60542],1509856925840,['0.5311' '1.3776' '1.6680' '1.2000' '1.7000' '1.3310\n']
65,[61168 61359],[58130 60541],1509856925841,['0.5662' '1.4881' '1.5728' '1.2000' '1.7000' '1.3310\n']
66,[61168 61357],[58130 60543],1509856925841,['0.5936' '1.5784' '1.5000' '1.2000' '1.7000' '1.3310\n']
67,[61168 61358],[58128 60541],1509856925841,['0.6169' '1.6400' '1.4578' '1.2000' '1.7000' '1.3310\n']
68,[61169 61353],[58130 60542],1509856925880,['0.6355' '1.6737' '1.4416' '1.2000' '1.7000' '1.3310\n']
69,[61169 61359],[58130 60541],1509856925881,['0.6476' '1.6937' '1.4386' '1.2000' '1.7000' '1.3310\n']
70,[61167 61358],[58129 60542],1509856925881,['0.6522' '1.7050' '1.4348' '1.2000' '1.7000' '1.3310\n']
71,[61169 61360],[58130 60542],1509856925881,['0.6555' '1.7047' '1.4149' '1.2000' '1.7000' '1.3310\n']
72,[61169 61360],[58129 60541],1509856925920,['0.6568' '1.7409' '1.3948' '1.2000' '1.7000' '1.3310\n']
73,[61169 61359],[58129 60540],1509856925921,['0.6568' '1.7401' '1.3920' '1.2000' '1.7000' '1.3310\n']
74,[61168 61360],[58128 60541],1509856925921,['0.6568' '1.7399' '1.3864' '1.2000' '1.7000' '1.3310\n']
75,[61169 61358],[58129 60541],1509856925922,['0.6568' '1.7399' '1.3801' '1.2000' '1.7000' '1.3310\n']
76,[61168 61360],[58129 60541],1509856925961,['0.6552' '1.7396' '1.3772' '1.2000' '1.7000' '1.3310\n']
77,[61169 61360],[58130 60543],1509856925961,['0.6552' '1.7389' '1.3741' '1.2000' '1.7000' '1.3310\n']
78,[61168 61358],[58129 60542],1509856925962,['0.6538' '1.7386' '1.3672' '1.2000' '1.7000' '1.3310\n']
79,[61172 61360],[58131 60542],1509856925962,['0.6522' '1.7382' '1.3603' '1.2000' '1.7000' '1.3310\n']
80,[61169 61358],[58129 60540],1509856926000,['0.6522' '1.7380' '1.3532' '1.2000' '1.7000' '1.3310\n']
81,[61168 61360],[58129 60541],1509856926001,['0.6522' '1.7373' '1.3497' '1.2000' '1.7000' '1.3310\n']
82,[61167 61360],[58127 60541],1509856926001,['0.6522' '1.7370' '1.3451' '1.2000' '1.7000' '1.3310\n']
83,[61170 61362],[58131 60540],1509856926002,['0.6522' '1.7366' '1.3442' '1.2000' '1.7000' '1.3310\n']
84,[61170 61359],[58130 60542],1509856926041,['0.6522' '1.7362' '1.3437' '1.2000' '1.7000' '1.3310\n']
85,[61170 61360],[58131 60541],1509856926042,['0.6522' '1.7360' '1.3428' '1.2000' '1.7000' '1.3310\n']
86,[61169 61355],[58131 60539],1509856926043,['0.6522' '1.7357' '1.3426' '1.2000' '1.7000' '1.3310\n']
87,[61170 61357],[58129 60541],1509856926048,['0.6522' '1.7353' '1.3443' '2.5000' '3.0000' '1.3310\n']
88,[61167 61358],[58128 60541],1509856926080,['0.6797' '1.8087' '1.3443' '2.5000' '3.0000' '1.3310\n']
89,[61169 61356],[58130 60539],1509856926081,['0.7043' '1.8470' '1.3390' '2.5000' '3.0000' '1.3310\n']
90,[61169 61359],[58129 60541],1509856926081,['0.7583' '1.9007' '1.3288' '2.5000' '3.0000' '1.3310\n']
91,[61168 61359],[58129 60542],1509856926081,['0.8195' '1.9619' '1.3136' '2.5000' '3.0000' '1.3310\n']
92,[61169 61355],[58128 60541],1509856926120,['0.8964' '2.0247' '1.2983' '2.5000' '3.0000' '1.3310\n']
93,[61171 61358],[58131 60542],1509856926122,['0.9791' '2.0954' '1.2922' '2.5000' '3.0000' '1.3310\n']
94,[61168 61358],[58131 60541],1509856926125,['1.0649' '2.1569' '1.2907' '2.5000' '3.0000' '1.3310\n']
95,[61171 61360],[58129 60541],1509856926126,['1.1198' '2.2213' '1.2876' '2.5000' '3.0000' '1.3310\n']
96,[61169 61359],[58130 60540],1509856926160,['1.2294' '2.2857' '1.2842' '2.5000' '3.0000' '1.3310\n']
97,[61170 61361],[58131 60542],1509856926161,['1.3167' '2.3516' '1.2843' '2.5000' '3.0000' '1.3310\n']
98,[61168 61360],[58129 60541],1509856926161,['1.3992' '2.4177' '1.2845' '2.5000' '3.0000' '1.3310\n']
99,[61169 61357],[58130 60540],1509856926161,['1.4868' '2.4730' '1.2812' '2.5000' '3.0000' '1.3310\n']
100,[61169 61361],[58130 60542],1509856926200,['1.5758' '2.5342' '1.2791' '2.5000' '3.0000' '1.3310\n']
101,[61171 61358],[58129 60542],1509856926201,['1.6573' '2.6049' '1.2791' '2.5000' '3.0000' '1.3310\n']
102,[61168 61359],[58128 60540],1509856926201,['1.7403' '2.6723' '1.2789' '2.5000' '3.0000' '1.3310\n']
103,[61170 61356],[58130 60540],1509856926201,['1.8229' '2.7414' '1.2812' '2.5000' '3.0000' '1.3310\n']
104,[61170 61358],[58130 60541],1509856926247,['1.9044' '2.8104' '1.2857' '2.5000' '3.0000' '1.3310\n']
105,[61167 61356],[58129 60542],1509856926248,['1.9918' '2.8798' '1.2936' '2.5000' '3.0000' '1.3310\n']
106,[61170 61359],[58129 60541],1509856926248,['2.0775' '2.9441' '1.3020' '2.5000' '3.0000' '1.3310\n']
107,[61166 61360],[58130 60541],1509856926249,['2.1558' '3.0115' '1.3105' '2.5000' '3.0000' '1.3310\n']
