,x,y,time,ard
65,[61914 62187],[58374 60812],1509850597232,[ 0.9359  1.4465  1.2     1.7   ]
66,[61914 62187],[58372 60811],1509850597233,[ 0.95    1.4554  1.2     1.7   ]
67,[61914 62186],[58373 60811],1509850597248,[ 0.9609  1.4647  1.2     1.7   ]
68,[61914 62188],[58373 60812],1509850597249,[ 0.9654  1.4724  1.2     1.7   ]
69,[61915 62189],[58371 60812],1509850597264,[ 0.967   1.4757  1.2     1.7   ]
70,[61914 62187],[58372 60812],1509850597280,[ 0.9667  1.4757  1.2     1.7   ]
71,[61915 62188],[58372 60811],1509850597281,[ 0.967   1.4757  1.2     1.7   ]
72,[61914 62188],[58373 60811],1509850597296,[ 0.967   1.4757  1.2     1.7   ]
73,[61915 62187],[58374 60812],1509850597312,[ 0.9638  1.4711  1.2     1.7   ]
74,[61915 62189],[58371 60812],1509850597313,[ 0.9579  1.4678  1.2     1.7   ]
75,[61915 62188],[58372 60812],1509850597328,[ 0.9546  1.4645  1.2     1.7   ]
76,[61915 62189],[58371 60813],1509850597329,[ 0.953   1.4629  1.2     1.7   ]
77,[61916 62187],[58372 60812],1509850597344,[ 0.9517  1.4601  1.2     1.7   ]
78,[61915 62189],[58371 60812],1509850597358,[ 0.9471  1.4587  1.2     1.7   ]
79,[61916 62189],[58372 60812],1509850597359,[ 0.9455  1.4586  1.2     1.7   ]
80,[61916 62190],[58372 60813],1509850597374,[ 0.9454  1.4572  1.2     1.7   ]
81,[61915 62189],[58372 60812],1509850597390,[ 0.9458  1.4556  1.2     1.7   ]
82,[61915 62188],[58374 60813],1509850597390,[ 0.9454  1.4554  1.2     1.7   ]
83,[61914 62186],[58372 60812],1509850597406,[ 0.9454  1.4557  1.2     1.7   ]
84,[61915 62187],[58372 60811],1509850597407,[ 0.9454  1.4557  1.2     1.7   ]
85,[61916 62187],[58373 60812],1509850597422,[ 0.9454  1.4554  2.5     3.    ]
86,[61914 62188],[58372 60811],1509850597438,[ 0.9788  1.4861  2.5     3.    ]
87,[61915 62187],[58373 60811],1509850597438,[ 1.0053  1.5199  2.5     3.    ]
88,[61914 62188],[58372 60811],1509850597454,[ 1.079   1.5801  2.5     3.    ]
89,[61915 62189],[58372 60812],1509850597470,[ 1.1572  1.6566  2.5     3.    ]
90,[61914 62188],[58373 60811],1509850597471,[ 1.2508  1.7394  2.5     3.    ]
91,[61916 62188],[58371 60811],1509850597486,[ 1.346   1.8269  2.5     3.    ]
92,[61915 62190],[58373 60813],1509850597487,[ 1.4363  1.9175  2.5     3.    ]
93,[61916 62187],[58372 60812],1509850597502,[ 1.5253  2.0081  2.5     3.    ]
94,[61915 62187],[58373 60811],1509850597518,[ 1.6127  2.0984  2.5     3.    ]
95,[61915 62186],[58372 60811],1509850597519,[ 1.699   2.1892  2.5     3.    ]
96,[61917 62186],[58373 60811],1509850597534,[ 1.7938  2.2782  2.5     3.    ]
97,[61915 62187],[58372 60811],1509850597550,[ 1.8751  2.3701  2.5     3.    ]
98,[61807 62177],[58428 60820],1509850597551,[ 1.9581  2.47    2.5     3.    ]
99,[55741 61510 62094],[38309 58669 60879],1509850597566,[ 2.0471  2.5635  2.5     3.    ]
100,[54035 61164 61952 66490],[38888 58758 60863 38159],1509850597567,[ 2.1406  2.6648  2.5     3.    ]
101,[52578 60893 61821 68728],[39383 58783 60849 39011],1509850597582,[ 2.2356  2.7723  2.5     3.    ]
102,[51635 60706 61722 70186],[39728 58599 60819 39736],1509850597598,[ 2.323   2.8179  2.5     3.    ]
103,[50909 60553 61651 71036],[40042 58622 60813 40281],1509850597599,[ 2.4462  2.9912  2.5     3.    ]
104,[50425 60500 61608 71390],[40263 58679 60805 40552],1509850597614,[ 2.5383  3.0868  2.5     3.    ]
105,[50165 60427 61584 71428],[40378 58824 60804 40603],1509850597630,[ 2.5519  3.0913  2.5     3.    ]
106,[50200 60433 61584 71354],[40356 58813 60804 40549],1509850597631,[ 2.4842  2.9915  2.5     3.    ]
107,[50481 60499 61605 71205],[40207 58629 60798 40411],1509850597646,[ 2.4413  2.9206  2.5     3.    ]
108,[50902 60546 61636 70891],[39994 58585 60798 40167],1509850597647,[ 2.478   2.9382  2.5     3.    ]
109,[51453 60645 61680 70370],[39742 58567 60803 39820],1509850597662,[ 2.5522  3.0145  2.5     3.    ]
110,[52147 60770 61732 69626],[39439 58677 60810 39373],1509850597678,[ 2.5779  3.05    1.2     1.7   ]
111,[53058 60925 61791 68714],[39053 58643 60804 38857],1509850597679,[ 2.4629  2.9686  1.2     1.7   ]
112,[54222 61098 61849 67694],[38609 58420 60772 38336],1509850597696,[ 2.1773  2.6754  1.2     1.7   ]
113,[55391 61163 61824 66766],[38008 58117 60499 37686],1509850597712,[ 1.8273  2.3822  1.2     1.7   ]
114,[55329 60960 61557 66812],[36709 57038 59259 36497],1509850597713,[ 1.504  2.048  1.2    1.7  ]
115,[54267 60512 61184 67618],[34866 54938 57235 34889],1509850597734,[ 1.1771  1.7581  1.2     1.7   ]
116,[53566 59935 60697 67970],[33266 53370 55639 33580],1509850597743,[ 0.9667  1.5801  1.2     1.7   ]
117,[53783 59584 60234 67413],[32631 53041 55234 33023],1509850597744,[ 0.9147  1.5369  1.2     1.7   ]
118,[54541 59504 59960 66496],[32453 53106 55335 32763],1509850597760,[ 0.9608  1.566   1.2     1.7   ]
119,[54783 59522 60018 66318],[32047 52493 54918 32201],1509850597760,[ 1.0485  1.6121  1.2     1.7   ]
120,[54184 59794 60371 67099],[31109 51285 53734 31226],1509850597775,[ 1.1264  1.6549  1.2     1.7   ]
121,[53672 60117 60789 67793],[30272 50270 52674 30345],1509850597792,[ 1.1863  1.6813  1.2     1.7   ]
122,[53917 60379 61057 67674],[30170 50272 52597 30163],1509850597793,[ 1.2233  1.6951  1.2     1.7   ]
123,[54573 60545 61242 67208],[30496 50691 53028 30326],1509850597808,[ 1.2416  1.7025  1.2     1.7   ]
124,[53544 60891 61652 68537],[29576 49249 51593 29243],1509850597823,[ 1.2446  1.7056  1.2     1.7   ]
125,[51778 61180 62145 70489],[27413 46082 48427 26885],1509850597824,[ 1.2357  1.7056  1.2     1.7   ]
126,[50620 61422 62533 71645],[24546 42456 44745 23710],1509850597840,[ 1.223   1.7057  1.2     1.7   ]
127,[50550 61599 62752 71550],[21611 39452 41715 20490],1509850597840,[ 1.2139  1.7024  1.2     1.7   ]
128,[51254 61665 62753 70509],[19466 37711 39998 18125],1509850597856,[ 1.2138  1.6995  1.2     1.7   ]
129,[51798 61569 62555 69619],[18674 37203 39568 17324],1509850597872,[ 1.2138  1.6995  1.2     1.7   ]
130,[51834 61331 62306 69551],[19026 37588 40005 17825],1509850597872,[ 1.2138  1.6995  1.2     1.7   ]
131,[51647 61046 61982 69952],[19925 38464 40916 19050],1509850597887,[ 1.2125  1.7012  1.2     1.7   ]
132,[51442 60759 61699 70414],[20995 39636 42052 20563],1509850597904,[ 1.2122  1.7012  1.2     1.7   ]
133,[51307 60533 61492 70756],[22159 40918 43287 22075],1509850597904,[ 1.1788  1.6658  1.2     1.7   ]
