,x,y,time,ard
0,[62053 62325],[58362 60703],1509854925091,[ 2.3571  2.9224  2.5     3.    ]
1,[62051 62325],[58365 60703],1509854925107,[ 2.4858  3.0455  2.5     3.    ]
2,[62050 62324],[58369 60705],1509854925123,[ 2.5747  3.1313  2.5     3.    ]
3,[62051 62324],[58362 60704],1509854925123,[ 2.5319  3.0746  2.5     3.    ]
4,[62050 62323],[58359 60703],1509854925139,[ 2.44    2.9411  2.5     3.    ]
5,[62052 62324],[58363 60703],1509854925155,[ 2.4046  2.8861  2.5     3.    ]
6,[62052 62327],[58361 60703],1509854925155,[ 2.4829  2.9582  2.5     3.    ]
7,[62052 62324],[58361 60703],1509854925171,[ 2.5963  3.0547  2.5     3.    ]
8,[62051 62323],[58361 60704],1509854925171,[ 2.5963  3.0665  2.5     3.    ]
9,[62051 62324],[58365 60704],1509854925187,[ 2.4935  2.984   2.5     3.    ]
10,[62052 62324],[58365 60704],1509854925203,[ 2.4047  2.9161  1.2     1.7   ]
11,[62052 62323],[58362 60703],1509854925204,[ 2.3585  2.8765  1.2     1.7   ]
12,[62051 62325],[58360 60703],1509854925219,[ 2.1389  2.6586  1.2     1.7   ]
13,[62052 62323],[58361 60704],1509854925235,[ 1.8214  2.3562  1.2     1.7   ]
14,[62051 62324],[58362 60704],1509854925236,[ 1.4887  2.0388  1.2     1.7   ]
15,[62051 62324],[58361 60703],1509854925251,[ 1.1926  1.761   1.2     1.7   ]
16,[62050 62325],[58361 60703],1509854925252,[ 1.0053  1.5922  1.2     1.7   ]
17,[62051 62326],[58365 60703],1509854925267,[ 0.947   1.5466  1.2     1.7   ]
18,[62051 62324],[58365 60703],1509854925283,[ 0.9775  1.5599  1.2     1.7   ]
19,[62051 62324],[58362 60703],1509854925284,[ 1.0498  1.5998  1.2     1.7   ]
20,[62050 62323],[58360 60703],1509854925299,[ 1.1232  1.6416  1.2     1.7   ]
21,[62052 62323],[58361 60704],1509854925315,[ 1.1866  1.6692  1.2     1.7   ]
22,[62051 62326],[58361 60702],1509854925316,[ 1.2249  1.687   1.2     1.7   ]
23,[62052 62326],[58363 60702],1509854925331,[ 1.2416  1.6969  1.2     1.7   ]
24,[62050 62324],[58364 60703],1509854925332,[ 1.2432  1.7008  1.2     1.7   ]
25,[62050 62324],[58363 60703],1509854925347,[ 1.2341  1.7023  1.2     1.7   ]
26,[62050 62324],[58363 60704],1509854925363,[ 1.2233  1.7021  1.2     1.7   ]
27,[62052 62324],[58363 60703],1509854925364,[ 1.2139  1.7026  1.2     1.7   ]
28,[62050 62325],[58363 60703],1509854925379,[ 1.2109  1.7025  1.2     1.7   ]
29,[62051 62324],[58359 60703],1509854925395,[ 1.2108  1.7012  1.2     1.7   ]
30,[62051 62325],[58360 60704],1509854925396,[ 1.2108  1.7012  1.2     1.7   ]
31,[62051 62324],[58362 60704],1509854925411,[ 1.2108  1.7012  1.2     1.7   ]
32,[62050 62324],[58364 60704],1509854925412,[ 1.2108  1.7012  1.2     1.7   ]
33,[62052 62325],[58365 60704],1509854925427,[ 1.1893  1.6566  1.2     1.7   ]
34,[62050 62324],[58363 60703],1509854925443,[ 0.8318  1.3542  1.2     1.7   ]
35,[62051 62323],[58362 60704],1509854925444,[ 0.4915  1.0689  1.2     1.7   ]
36,[62051 62326],[58359 60702],1509854925459,[ 0.1001  0.8142  1.2     1.7   ]
37,[62051 62324],[58361 60703],1509854925475,[ 0.034   0.8007  1.2     1.7   ]
38,[62051 62324],[58360 60703],1509854925476,[ 0.235   0.9757  1.2     1.7   ]
39,[62051 62324],[58361 60703],1509854925491,[ 0.4837  1.1395  1.2     1.7   ]
