,x,y,time,ard
0,[67048 68767 68593 69447],[39021 61961 60749 38799],1509843060537,0
1,[67048 68756 68594 69447],[39021 61963 60747 38800],1509843060537,0
2,[67048 68772 68593 69447],[39022 61962 60748 38800],1509843060538,0
3,[67048 68765 68593 69447],[39021 61961 60747 38800],1509843060538,0
4,[67048 68769 68594 69447],[39021 61959 60747 38799],1509843060539,0
5,[67048 68755 68594 69446],[39021 61964 60747 38800],1509843060540,0
6,[67048 68767 68593 69447],[39022 61964 60748 38800],1509843060541,0
7,[67048 68766 68595 69447],[39021 61958 60748 38800],1509843060542,0
8,[67048 68755 68595 69447],[39021 61963 60748 38799],1509843060543,0
9,[67049 68770 68594 69447],[39021 61961 60748 38800],1509843060544,0
10,[67048 68757 68592 69446],[39021 61962 60747 38800],1509843060545,0
11,[67047 68770 68594 69446],[39021 61961 60749 38800],1509843060546,0
12,[67049 68768 68594 69446],[39022 61963 60747 38800],1509843060546,0
13,[67048 68753 68593 69447],[39022 61964 60748 38799],1509843060547,0
14,[67049 68765 68594 69447],[39022 61959 60748 38800],1509843060548,0
15,[67048 68771 68594 69447],[39021 61961 60748 38800],1509843060549,0
16,[67048 68767 68593 69447],[39021 61963 60748 38800],1509843060553,0
17,[67048 68759 68594 69447],[39021 61964 60748 38800],1509843060553,0
18,[67049 68767 68593 69446],[39022 61961 60748 38800],1509843060554,0
19,[67048 68760 68594 69447],[39022 61961 60748 38800],1509843060559,0
20,[67048 68768 68593 69446],[39022 61960 60749 38800],1509843060561,0
21,[67048 68763 68593 69447],[39022 61960 60748 38800],1509843060561,"0.0648,0.5858,2.5000,3.0000
"
22,[67049 68762 68593 69448],[39022 61961 60748 38800],1509843060569,0
23,[67048 68757 68595 69447],[39022 61962 60747 38800],1509843060569,0
24,[67048 68771 68593 69446],[39021 61961 60749 38800],1509843060569,0
25,[67047 68757 68595 69446],[39021 61964 60748 38800],1509843060570,0
26,[67048 68756 68594 69446],[39022 61962 60748 38801],1509843060570,0
27,[67048 68768 68593 69447],[39022 61964 60749 38800],1509843060571,0
28,[67048 68757 68594 69446],[39022 61963 60748 38800],1509843060571,0
29,[67048 68760 68594 69447],[39022 61962 60748 38800],1509843060571,0
30,[67048 68770 68593 69447],[39022 61961 60748 38800],1509843060572,0
31,[67048 68766 68593 69447],[39022 61962 60748 38800],1509843060572,0
32,[67048 68758 68593 69447],[39021 61962 60749 38800],1509843060573,0
33,[67048 68767 68593 69446],[39021 61963 60748 38800],1509843060573,0
34,[67048 68770 68594 69446],[39021 61960 60749 38800],1509843060577,0
35,[67048 68759 68594 69447],[39021 61963 60748 38800],1509843060577,"0.0648,0.5855,2.5000,3.0000
"
36,[67049 68766 68594 69447],[39022 61962 60748 38800],1509843060577,0
37,[67048 68768 68593 69447],[39022 61961 60748 38800],1509843060578,0
38,[67048 68771 68594 69447],[39021 61961 60747 38800],1509843060578,0
39,[67047 68771 68594 69446],[39021 61962 60747 38800],1509843060578,0
40,[67048 68756 68594 69447],[39021 61962 60749 38800],1509843060579,0
41,[67048 68765 68594 69446],[39022 61964 60749 38800],1509843060579,0
42,[67048 68768 68593 69446],[39021 61963 60748 38799],1509843060579,0
43,[67048 68765 68594 69446],[39023 61960 60748 38799],1509843060584,0
44,[67048 68765 68594 69447],[39022 61961 60749 38800],1509843060585,0
45,[67048 68772 68595 69446],[39021 61962 60747 38800],1509843060585,0
46,[67048 68762 68593 69446],[39022 61963 60748 38800],1509843060586,0
47,[67048 68765 68593 69446],[39022 61963 60748 38799],1509843060587,0
48,[67048 68765 68593 69447],[39022 61965 60749 38800],1509843060592,0
49,[67048 68765 68594 69446],[39021 61964 60748 38800],1509843060593,0
50,[67047 68754 68593 69446],[39021 61963 60748 38800],1509843060594,"0.0648,0.5856,2.5000,3.0000
0.0648,0.5858,2.5000,3.0000
"
51,[67048 68766 68594 69447],[39022 61963 60747 38800],1509843060594,0
52,[67048 68769 68593 69447],[39021 61962 60748 38800],1509843060596,0
53,[67048 68768 68594 69446],[39022 61962 60748 38800],1509843060606,0
54,[67048 68761 68593 69446],[39022 61965 60748 38800],1509843060607,0
55,[67048 68771 68594 69447],[39021 61961 60748 38800],1509843060608,0
56,[67048 68760 68594 69446],[39022 61963 60748 38799],1509843060614,0
57,[67048 68771 68594 69447],[39022 61963 60748 38800],1509843060614,"0.0648,0.5860,2.5000,3.0000
0.0648,0.5856,1"
58,[67048 68770 68593 69447],[39022 61962 60747 38799],1509843060615,0
59,[67048 68755 68593 69447],[39021 61965 60748 38800],1509843060615,0
60,[67048 68770 68593 69447],[39021 61962 60748 38800],1509843060615,0
61,[67049 68759 68594 69447],[39021 61963 60749 38799],1509843060616,0
62,[67048 68769 68594 69447],[39022 61962 60749 38800],1509843060616,0
63,[67049 68767 68593 69447],[39022 61959 60748 38800],1509843060617,0
64,[67047 68763 68594 69447],[39021 61962 60748 38800],1509843060617,0
65,[67048 68760 68594 69446],[39022 61962 60748 38800],1509843060617,0
66,[67048 68757 68594 69446],[39021 61965 60748 38800],1509843060618,0
67,[67048 68768 68593 69446],[39022 61963 60748 38800],1509843060618,0
68,[67048 68769 68592 69446],[39022 61963 60748 38800],1509843060618,0
69,[67048 68772 68595 69446],[39021 61964 60749 38800],1509843060619,0
70,[67048 68755 68593 69447],[39022 61963 60747 38800],1509843060619,0
71,[67048 68757 68593 69446],[39021 61963 60748 38800],1509843060619,0
72,[67049 68768 68593 69447],[39022 61962 60749 38800],1509843060621,0
73,[67048 68769 68594 69447],[39022 61962 60748 38800],1509843060623,0
74,[67049 68759 68592 69447],[39021 61963 60747 38799],1509843060625,0
75,[67048 68758 68593 69446],[39022 61961 60748 38800],1509843060627,".2000,1.7000
0.0648,0.5855,1.2000,1.7000
"
76,[67048 68767 68594 69446],[39021 61964 60747 38800],1509843060629,0
77,[67048 68770 68594 69446],[39022 61960 60748 38800],1509843060630,0
78,[67049 68758 68592 69447],[39022 61964 60749 38800],1509843060630,0
79,[67048 68772 68593 69446],[39022 61963 60748 38800],1509843060631,0
80,[67047 68770 68595 69446],[39021 61962 60748 38800],1509843060631,0
81,[67048 68758 68592 69447],[39022 61963 60748 38800],1509843060634,0
82,[67048 68776 68591 69446],[39022 61962 60748 38800],1509843060639,0
83,[67047 68769 68593 69447],[39021 61960 60748 38800],1509843060640,0
84,[67048 68770 68594 69446],[39022 61961 60748 38800],1509843060642,"0.0648,0.5856,1.2000,1.7000
0.0648,0.5858,1.2000,1.7000
"
85,[67048 68771 68593 69446],[39022 61961 60748 38800],1509843060643,0
86,[67049 68761 68594 69447],[39022 61963 60748 38800],1509843060648,0
87,[67048 68757 68593 69446],[39022 61967 60748 38800],1509843060649,0
88,[67049 68766 68594 69446],[39021 61962 60748 38800],1509843060649,0
89,[67049 68757 68593 69447],[39021 61961 60749 38800],1509843060650,0
90,[67049 68770 68592 69447],[39022 61964 60748 38800],1509843060651,0
91,[67048 68768 68593 69446],[39021 61960 60748 38799],1509843060655,0
92,[67049 68758 68594 69447],[39022 61964 60748 38800],1509843060660,"0.0645,0.5858,1.2000,1.7000
"
93,[67048 68754 68593 69447],[39021 61962 60748 38800],1509843060671,0
94,[67047 68754 68593 69447],[39022 61964 60748 38800],1509843060680,"0.0648,0.5857,1.2000,1.7000
0.0648,0.5856,1.2000,1.7000
"
95,[67048 68759 68594 69447],[39021 61961 60747 38800],1509843060690,"0.0648,0.5856,1.2000,1.7000
0.0648,0.5858,"
96,[67048 68759 68592 69447],[39022 61963 60748 38800],1509843060700,0
97,[67047 68762 68594 69447],[39022 61963 60748 38800],1509843060710,"1.2000,1.7000
0.0645,0.5858,1.2000,1.7000
"
98,[67048 68764 68594 69446],[39021 61963 60748 38800],1509843060720,"0.0648,0.5855,1.2000,1.7000
0.0648,0.5860,1.2000,1.7000
"
99,[67049 68768 68593 69446],[39022 61962 60748 38800],1509843060730,0
100,[67048 68768 68593 69446],[39021 61962 60749 38800],1509843060740,"0.0648,0.5858,1.2000,1.7000
"
101,[67048 68762 68594 69446],[39021 61962 60748 38799],1509843060750,0
102,[67048 68769 68592 69447],[39022 61961 60748 38800],1509843060760,"0.0648,0.5860,1.2000,1.7000
0.0648,0.5858,1.2000,1.7000
"
103,[67049 68771 68594 69446],[39021 61962 60748 38800],1509843060771,"0.0648,0.5860,1.2000,1.7000
0.0648,0.5860,"
104,[67049 68755 68593 69446],[39022 61962 60749 38800],1509843060780,0
105,[67049 68760 68594 69447],[39022 61962 60748 38800],1509843060790,"1.2000,1.7000
0.0648,0.5860,1.2000,1.7000
"
106,[67048 68768 68593 69447],[39022 61961 60749 38800],1509843060800,0
107,[67048 68758 68593 69446],[39022 61963 60748 38800],1509843060810,"0.0645,0.5858,1.2000,1.7000
0.0648,0.5860,1.2000,1.7000
"
108,[67048 68768 68593 69446],[39021 61960 60748 38800],1509843060820,"0.0648,0.5858,1.2000,1.7000
"
109,[67048 68766 68593 69447],[39022 61961 60748 38800],1509843060831,0
110,[67048 68760 68594 69446],[39023 61963 60748 38800],1509843060841,"0.0648,0.5858,1.2000,1.7000
0.0648,0.5860,1.2000,1.7000
"
111,[67048 68760 68593 69446],[39021 61963 60748 38800],1509843060851,"0.0648,0.5856,1.2000,1.7000
0.0648,0.5860"
112,[67048 68758 68592 69446],[39022 61963 60748 38800],1509843060860,0
113,[67048 68768 68594 69446],[39022 61961 60748 38800],1509843060870,",1.2000,1.7000
0.0648,0.5860,1.2000,1.7000
"
114,[67049 68760 68593 69446],[39022 61962 60747 38800],1509843060880,0
115,[67049 68766 68594 69446],[39022 61961 60747 38800],1509843060890,"0.0645,0.5860,1.2000,1.7000
0.0648,0.5858,1.2000,1.7000
"
116,[67048 68768 68593 69447],[39022 61962 60748 38799],1509843060900,"0.0648,0.5856,1.2000,1.7000
"
117,[67048 68771 68592 69447],[39022 61963 60748 38800],1509843060910,0
118,[67048 68761 68594 69447],[39021 61963 60749 38800],1509843060920,"0.0648,0.5858,1.2000,1.7000
0.0648,0.5858,1.2000,1.7000
"
119,[67049 68764 68594 69447],[39022 61959 60748 38800],1509843060930,"0.0648,0.5860,1.2000,1.7000
0.0648,0.5860"
120,[67048 68768 68594 69447],[39022 61964 60748 38799],1509843060944,0
121,[67048 68759 68593 69446],[39022 61962 60747 38800],1509843060950,",1.2000,1.7000
0.0645,0.5856,1.2000,1.7000
"
122,[67048 68768 68593 69446],[39022 61962 60748 38800],1509843060961,0
123,[67048 68761 68593 69447],[39022 61962 60748 38800],1509843060971,"0.0648,0.5858,1.2000,1.7000
0.0648,0.5860,1.2000,1.7000
"
124,[67048 68762 68593 69447],[39021 61963 60748 38799],1509843060980,"0.0648,0.5858,1.2000,1.7000
"
125,[67048 68769 68593 69446],[39021 61962 60748 38800],1509843060990,0
126,[67048 68772 68593 69447],[39022 61960 60748 38800],1509843061000,"0.0648,0.5860,1.2000,1.7000
0.0648,0.5860,1.2000,1.7000
"
