,x,y,time
94,[66163 75736 76695 86221],[42564 34667 68623 42925],1509232253482
95,[66164 75737 76694 86220],[42563 34668 68625 42924],1509232253491
96,[66163 75736 76697 86220],[42563 34668 68623 42926],1509232253501
97,[66164 75735 76692 86219],[42563 34668 68625 42925],1509232253511
98,[66163 75736 76696 86220],[42562 34668 68623 42924],1509232253521
99,[66164 75736 76694 86220],[42562 34668 68624 42924],1509232253531
100,[66162 75736 76695 86222],[42563 34668 68623 42926],1509232253541
101,[66162 75736 76694 86220],[42564 34667 68624 42925],1509232253551
102,[66162 75735 76692 86220],[42563 34667 68625 42925],1509232253561
103,[66164 75739 76694 86221],[42563 34669 68624 42925],1509232253572
104,[66163 75736 76695 86220],[42563 34668 68624 42925],1509232253581
105,[66162 75735 76693 86219],[42563 34667 68625 42925],1509232253591
106,[66161 75737 76696 86219],[42563 34667 68624 42925],1509232253601
107,[66162 75736 76694 86221],[42563 34668 68624 42926],1509232253612
108,[66164 75740 76696 86221],[42563 34669 68624 42926],1509232253622
109,[66162 75737 76695 86219],[42564 34669 68623 42924],1509232253631
110,[66162 75735 76692 86219],[42563 34668 68624 42924],1509232253641
111,[66164 75737 76695 86221],[42563 34668 68623 42925],1509232253651
112,[66165 75739 76695 86221],[42562 34669 68623 42925],1509232253661
113,[66162 75734 76694 86218],[42563 34667 68624 42924],1509232253671
114,[66159 75735 76695 86218],[42564 34667 68623 42925],1509232253681
115,[66162 75736 76696 86221],[42564 34668 68623 42926],1509232253691
116,[66164 75737 76695 86221],[42563 34667 68624 42926],1509232253701
117,[66162 75736 76695 86220],[42562 34667 68623 42925],1509232253711
118,[66162 75736 76695 86221],[42563 34667 68624 42925],1509232253721
119,[66163 75737 76696 86219],[42563 34668 68623 42924],1509232253731
120,[66163 75738 76692 86220],[42562 34668 68624 42924],1509232253741
121,[66162 75735 76695 86218],[42563 34667 68624 42925],1509232253752
122,[66162 75736 76697 86220],[42563 34668 68622 42924],1509232253762
123,[66165 75735 76695 86220],[42563 34667 68623 42924],1509232253771
124,[66164 75738 76695 86221],[42563 34668 68624 42925],1509232253781
125,[66164 75737 76693 86220],[42563 34666 68625 42925],1509232253792
126,[66162 75735 76696 86220],[42563 34666 68624 42925],1509232253801
127,[66162 75735 76696 86220],[42563 34668 68624 42924],1509232253811
128,[66163 75737 76694 86220],[42563 34668 68625 42924],1509232253821
129,[66164 75736 76694 86220],[42562 34666 68623 42924],1509232253832
130,[66162 75735 76696 86220],[42563 34667 68623 42924],1509232253841
131,[66162 75737 76691 86222],[42563 34667 68626 42924],1509232253851
132,[66163 75738 76693 86222],[42564 34668 68625 42925],1509232253861
133,[66161 75736 76695 86220],[42563 34666 68624 42924],1509232253871
134,[66161 75736 76694 86221],[42564 34667 68625 42924],1509232253882
135,[66163 75736 76695 86220],[42564 34667 68624 42924],1509232253891
136,[66162 75736 76695 86220],[42564 34668 68623 42923],1509232253902
137,[66162 75735 76695 86221],[42564 34667 68623 42923],1509232253912
138,[66163 75736 76694 86221],[42563 34667 68625 42925],1509232253921
139,[66162 75736 76693 86220],[42563 34667 68624 42924],1509232253931
140,[66163 75736 76695 86220],[42563 34668 68624 42925],1509232253941
