,x,y,time,ard
0,[61474 61562],[58328 60620],1509856196014,['\x00\n']
1,[61474 61563],[58329 60621],1509856196015,['-0.0244' '0.6653' '2.0597' '1.2000' '1.7000' '3.8437\n']
2,[61476 61563],[58329 60620],1509856196017,['-0.0245' '0.6653' '2.0599' '1.2000' '1.7000' '3.8437\n']
3,[61475 61563],[58329 60619],1509856196054,['-0.0244' '0.6651' '2.0599' '2.5000' '3.0000' '0.0000\n']
4,[61475 61564],[58330 60620],1509856196055,['-0.0244' '0.6655' '2.0599' '2.5000' '3.0000' '0.0000\n']
5,[61475 61563],[58329 60621],1509856196092,['-0.0248' '0.6655' '2.0599' '2.5000' '3.0000' '1.2933\n']
6,[61474 61564],[58329 60619],1509856196093,['-0.0245' '0.6655' '2.0599' '2.5000' '3.0000' '1.2933\n']
7,[61474 61563],[58327 60620],1509856196093,['-0.0245' '0.6655' '2.0599' '2.5000' '3.0000' '1.2933\n']
8,[61474 61563],[58328 60621],1509856196094,['-0.0244' '0.6655' '2.0599' '2.5000' '3.0000' '1.2933\n']
9,[61475 61564],[58329 60620],1509856196132,['-0.0245' '0.6656' '2.0599' '2.5000' '3.0000' '1.2933\n']
10,[61475 61563],[58329 60620],1509856196133,['-0.0248' '0.6655' '2.0599' '2.5000' '3.0000' '1.2933\n']
11,[61475 61564],[58329 60621],1509856196133,['-0.0244' '0.6651' '2.0599' '2.5000' '3.0000' '1.2933\n']
12,[61474 61564],[58327 60620],1509856196133,['-0.0245' '0.6655' '2.0601' '2.5000' '3.0000' '1.2933\n']
13,[61473 61563],[58329 60620],1509856196172,['-0.0244' '0.6651' '2.0600' '1.2000' '1.7000' '1.2933\n']
14,[61473 61564],[58327 60619],1509856196173,['-0.0244' '0.6655' '2.0601' '1.2000' '1.7000' '1.2933\n']
15,[61473 61564],[58327 60619],1509856196173,['-0.0244' '0.6655' '2.0601' '1.2000' '1.7000' '1.2933\n']
16,[61474 61563],[58327 60619],1509856196173,['-0.0244' '0.6652' '2.0601' '1.2000' '1.7000' '1.2933\n']
17,[61473 61564],[58328 60619],1509856196212,['-0.0244' '0.6655' '2.0601' '1.2000' '1.7000' '1.2933\n']
18,[61474 61564],[58327 60620],1509856196213,['-0.0244' '0.6655' '2.0601' '1.2000' '1.7000' '1.2933\n']
19,[61475 61564],[58328 60620],1509856196213,['-0.0244' '0.6652' '2.0601' '1.2000' '1.7000' '1.2933\n']
20,[61475 61563],[58327 60620],1509856196214,['-0.0248' '0.6655' '2.0599' '1.2000' '1.7000' '1.2933\n']
21,[61474 61564],[58328 60619],1509856196252,['-0.0244' '0.6655' '2.0599' '1.2000' '1.7000' '1.2933\n']
22,[61474 61563],[58329 60620],1509856196253,['-0.0244' '0.6652' '2.0599' '1.2000' '1.7000' '1.2933\n']
23,[61473 61564],[58327 60619],1509856196253,['-0.0244' '0.6651' '2.0601' '1.2000' '1.7000' '1.2933\n']
24,[61476 61565],[58328 60619],1509856196253,['-0.0244' '0.6655' '2.0599' '1.2000' '1.7000' '1.2933\n']
25,[61474 61563],[58328 60619],1509856196293,['-0.0244' '0.6652' '2.0599' '1.2000' '1.7000' '1.2933\n']
26,[61475 61564],[58328 60619],1509856196294,['-0.0244' '0.6651' '2.0601' '1.2000' '1.7000' '1.2933\n']
27,[61475 61564],[58328 60620],1509856196296,['-0.0244' '0.6655' '2.0599' '1.2000' '1.7000' '1.2933\n']
28,[61473 61563],[58327 60620],1509856196301,['-0.0244' '0.6655' '2.0599' '1.2000' '1.7000' '1.2933\n']
29,[61475 61565],[58329 60619],1509856196340,['-0.0244' '0.6652' '2.0599' '1.2000' '1.7000' '1.2933\n']
30,[61476 61564],[58328 60619],1509856196340,['-0.0244' '0.6655' '2.0599' '1.2000' '1.7000' '1.2933\n']
31,[61474 61564],[58328 60619],1509856196341,['-0.0244' '0.6655' '2.0599' '1.2000' '1.7000' '1.2933\n']
32,[61476 61565],[58328 60619],1509856196341,['-0.0244' '0.6652' '2.0599' '1.2000' '1.7000' '1.2933\n']
33,[61474 61564],[58329 60620],1509856196372,['-0.0244' '0.6655' '2.0599' '1.2000' '1.7000' '1.2933\n']
34,[61473 61563],[58328 60620],1509856196373,['-0.0244' '0.6655' '2.0599' '1.2000' '1.7000' '1.2933\n']
35,[61475 61563],[58328 60619],1509856196373,['-0.0244' '0.6652' '2.0599' '1.2000' '1.7000' '1.2933\n']
36,[61474 61565],[58328 60620],1509856196373,['-0.0244' '0.6655' '2.0599' '1.2000' '1.7000' '1.2933\n']
37,[61474 61564],[58329 60620],1509856196412,['-0.0244' '0.6656' '2.0599' '1.2000' '1.7000' '1.2933\n']
38,[61473 61562],[58328 60620],1509856196413,['-0.0245' '0.6655' '2.0599' '1.2000' '1.7000' '1.2933\n']
39,[61474 61565],[58327 60619],1509856196413,['-0.0244' '0.6655' '2.0601' '1.2000' '1.7000' '1.2933\n']
40,[61474 61563],[58327 60620],1509856196413,['-0.0244' '0.6651' '2.0601' '1.2000' '1.7000' '1.2933\n']
41,[61474 61564],[58329 60620],1509856196452,['-0.0244' '0.6652' '2.0599' '1.2000' '1.7000' '1.2933\n']
42,[61473 61563],[58328 60619],1509856196453,['-0.0244' '0.6655' '2.0601' '1.2000' '1.7000' '1.2933\n']
43,[61474 61563],[58328 60620],1509856196453,['-0.0244' '0.6655' '2.0599' '1.2000' '1.7000' '1.2933\n']
44,[61475 61563],[58328 60620],1509856196453,['-0.0244' '0.6651' '2.0599' '1.2000' '1.7000' '1.2933\n']
45,[61473 61563],[58329 60620],1509856196492,['-0.0244' '0.6655' '2.0599' '1.2000' '1.7000' '1.2933\n']
46,[61474 61562],[58327 60621],1509856196493,['-0.0248' '0.6655' '2.0599' '1.2000' '1.7000' '1.2933\n']
47,[61474 61564],[58328 60620],1509856196493,['-0.0244' '0.6652' '2.0599' '1.2000' '1.7000' '1.2933\n']
48,[61474 61564],[58330 60619],1509856196493,['-0.0244' '0.6656' '2.0599' '1.2000' '1.7000' '1.2933\n']
49,[61474 61563],[58328 60620],1509856196532,['-0.0244' '0.6655' '2.0598' '1.2000' '1.7000' '1.2933\n']
50,[61475 61561],[58327 60619],1509856196533,['-0.0248' '0.6652' '2.0601' '1.2000' '1.7000' '1.2933\n']
51,[61473 61563],[58326 60619],1509856196533,['-0.0244' '0.6652' '2.0601' '1.2000' '1.7000' '1.2933\n']
52,[61473 61565],[58328 60619],1509856196533,['-0.0244' '0.6655' '2.0601' '1.2000' '1.7000' '1.2933\n']
53,[61474 61563],[58328 60620],1509856196572,['-0.0244' '0.6652' '2.0601' '1.2000' '1.7000' '1.2933\n']
54,[61472 61564],[58329 60620],1509856196573,['-0.0245' '0.6651' '2.0599' '1.2000' '1.7000' '1.2933\n']
55,[61474 61564],[58328 60620],1509856196573,['-0.0248' '0.6651' '2.0599' '1.2000' '1.7000' '1.2933\n']
56,[61475 61562],[58327 60619],1509856196574,['-0.0244' '0.6655' '2.0601' '1.2000' '1.7000' '1.2933\n']
