,x,y,time
0,[65991 75653 76794 86116],[43238 35267 69099 43482],1509231153081
1,[65934 75652 76796 86176],[43292 35265 69130 43560],1509231153081
2,[65738 75630 76790 86471],[43407 35088 69158 43764],1509231153081
3,[65368 75692 76776 86904],[43567 34643 69161 44037],1509231153082
4,[64967 75700 76757 87309],[43726 34092 69134 44302],1509231153082
5,[64548 75711 76741 87713],[43904 33371 69119 44585],1509231153089
6,[64197 75728 76721 88077],[44049 32470 69107 44839],1509231153099
7,[63933 75795 76705 88335],[44163 31493 69095 45029],1509231153110
8,[63767 75812 76692 88483],[44238 30489 69085 45147],1509231153119
9,[63688 75840 76688 88522],[44274 29427 69081 45184],1509231153130
10,[63708 75873 76694 88478],[44257 28270 69078 45142],1509231153140
11,[63824 75945 76697 88343],[44192 27070 69085 45028],1509231153150
12,[64030 75960 76709 88127],[44091 25879 69085 44861],1509231153159
13,[64333 76007 76732 87818],[43956 24694 69090 44636],1509231153169
14,[64728 76042 76748 87427],[43780 23451 69107 44356],1509231153179
15,[65247 76077 76772 86940],[43560 22140 69129 44023],1509231153189
16,[65924 76108 76804 86355],[43284 20778 69146 43637],1509231153202
17,[66753 76206 76831 85638],[42965 19392 69157 43201],1509231153210
18,[67733 76226 76857 84765],[42612 17989 69153 42713],1509231153219
19,[68852 76235 76882 83779],[42268 16627 69124 42186],1509231153229
20,[69581 76300 76686 83071],[41586 15410 68698 41499],1509231153239
21,[69127 76249 76389 83411],[40208 67323 14410 40324],1509231153250
22,[68134 75738 76465 84176],[38446 65473 13582 38979],1509231153259
23,[67741 75210 76520 84308],[37316 64365 12835 38130],1509231153269
24,[68225 74806 76516 83593],[37137 64417 12143 37936],1509231153279
25,[68991 74716 76470 82744],[37267 64722 11552 37849],1509231153289
26,[68934 75029 76376 82896],[36933 64280 11163 37344],1509231153299
27,[67173 75817 76302 85027],[35187 61788 11056 35633],1509231153309
28,[65215 76376 76796 87479],[32241 11222 57626 32582],1509231153321
29,[64274 76381 77593 88774],[29026 11445 53546 29031],1509231153330
30,[64304 76401 78120 88921],[26567 11658 50816 26111],1509231153340
31,[64596 76404 78433 88706],[25502 11907 49739 24704],1509231153350
32,[64677 76444 78491 88674],[25599 12214 49811 24710],1509231153360
33,[64622 76466 78284 88698],[26141 12672 50377 25416],1509231153369
34,[64589 76343 77927 88704],[26633 13225 51065 26248],1509231153379
35,[64638 76290 77594 88644],[27029 13915 51695 26948],1509231153390
36,[64684 76300 77347 88537],[27399 14749 52248 27575],1509231153399
37,[64744 76293 77187 88401],[27858 15742 52852 28195],1509231153409
38,[64819 76213 77097 88286],[28589 16819 53634 28972],1509231153420
39,[64838 76170 77051 88202],[29541 17920 54611 29909],1509231153430
40,[64805 76118 77020 88142],[30644 19095 55734 31007],1509231153439
41,[64810 76077 76980 88121],[31847 20413 56983 32256],1509231153449
42,[64849 76079 76956 88138],[33170 21863 58363 33656],1509231153460
43,[64888 76096 76940 88149],[34618 23436 59864 35169],1509231153470
44,[64899 76082 76952 88124],[36218 25132 61478 36805],1509231153479
45,[64836 76050 76927 88030],[37956 26945 63196 38533],1509231153489
46,[64761 75965 76879 87928],[39789 28880 65009 40359],1509231153500
47,[64681 75883 76819 87829],[41702 30877 66905 42300],1509231153510
48,[64589 75790 76738 87738],[43703 32936 68894 44323],1509231153519
49,[65691 75693 76788 86396],[43401 35016 69120 43728],1509231153529
50,[67409 75565 76980 84179],[42994 36788 69296 42758],1509231153539
51,[70120 75496 77068],[42183 37960 69330],1509231153549
52,[75470 77136],[38264 69327],1509231153560
53,[69723 75378 77042],[42218 37755 69243],1509231153569
54,[68187 75584 76969 82798],[42637 37195 69213 42130],1509231153579
55,[67226 75575 76881 84332],[42836 36423 69118 42621],1509231153589
56,[66479 75657 76831 85443],[43042 35700 69068 43070],1509231153599
57,[65976 75726 76810 86181],[43201 35142 69038 43421],1509231153609
58,[65634 75699 76800 86609],[43330 34737 69021 43659],1509231153619
59,[65408 75707 76789 86832],[43423 34492 69014 43808],1509231153630
60,[65267 75730 76781 86945],[43484 34373 69016 43913],1509231153639
61,[65217 75741 76782 86967],[43519 34357 69021 43957],1509231153649
62,[65226 75726 76784 86935],[43522 34399 69030 43951],1509231153659
63,[65280 75717 76788 86863],[43503 34472 69043 43913],1509231153669
64,[65373 75698 76790 86749],[43470 34592 69060 43848],1509231153679
65,[65519 75665 76801 86599],[43419 34758 69077 43748],1509231153690
66,[65697 75636 76812 86436],[43361 34955 69089 43663],1509231153699
67,[65857 75665 76819 86236],[43307 35181 69100 43566],1509231153709
68,[65987 75656 76828 86053],[43262 35339 69106 43469],1509231153719
69,[66078 75637 76832 85920],[43228 35424 69111 43395],1509231153729
70,[66154 75613 76835 85870],[43200 35473 69114 43360],1509231153739
71,[66198 75645 76840 85849],[43183 35498 69112 43346],1509231153749
72,[66193 75643 76835 85854],[43183 35506 69110 43350],1509231153759
73,[66146 75642 76833 85883],[43196 35465 69107 43363],1509231153770
