,x,y,time
0,[66131 75632 76614 86143],[43122 35288 69112 43527],1509231398457
1,[66128 75634 76616 86142],[43126 35291 69113 43527],1509231398466
2,[66134 75632 76615 86142],[43121 35291 69111 43525],1509231398475
3,[66130 75635 76616 86142],[43124 35289 69111 43525],1509231398485
4,[66127 75631 76616 86142],[43125 35288 69111 43526],1509231398495
5,[66125 75634 76616 86145],[43127 35287 69112 43527],1509231398506
6,[66133 75634 76612 86145],[43120 35287 69109 43526],1509231398516
7,[66129 75638 76615 86148],[43126 35291 69113 43529],1509231398526
8,[66133 75634 76612 86142],[43122 35291 69112 43526],1509231398535
9,[66129 75635 76617 86140],[43125 35291 69111 43525],1509231398545
10,[66130 75631 76616 86141],[43123 35289 69112 43525],1509231398556
11,[66129 75637 76617 86146],[43124 35289 69112 43528],1509231398566
12,[66126 75633 76616 86145],[43125 35287 69112 43527],1509231398576
13,[66125 75632 76617 86144],[43126 35286 69112 43527],1509231398588
14,[66127 75632 76617 86144],[43125 35287 69112 43527],1509231398597
15,[66128 75636 76617 86145],[43125 35287 69113 43527],1509231398605
16,[66131 75634 76616 86147],[43121 35286 69112 43527],1509231398616
17,[66127 75635 76616 86144],[43125 35288 69114 43526],1509231398626
18,[66128 75631 76616 86142],[43124 35289 69113 43525],1509231398635
19,[66127 75635 76617 86144],[43125 35288 69114 43526],1509231398646
20,[66128 75634 76618 86143],[43124 35288 69113 43526],1509231398656
21,[66127 75635 76617 86144],[43126 35288 69113 43526],1509231398665
22,[66131 75633 76614 86143],[43121 35286 69112 43526],1509231398676
23,[66128 75637 76617 86146],[43125 35289 69114 43529],1509231398686
24,[66131 75634 76613 86144],[43122 35288 69114 43526],1509231398695
25,[66125 75633 76618 86141],[43125 35288 69113 43525],1509231398705
26,[66127 75631 76616 86141],[43124 35287 69112 43524],1509231398715
27,[66126 75635 76618 86145],[43125 35287 69113 43527],1509231398726
28,[66127 75634 76616 86146],[43125 35287 69113 43527],1509231398735
29,[66127 75634 76619 86145],[43125 35287 69112 43526],1509231398745
30,[65964 75629 76629 86315],[43271 35279 69178 43718],1509231398756
31,[65833 75617 76604 86571],[43277 35026 69145 43827],1509231398765
32,[65437 75687 76592 87027],[43459 34560 69159 44139],1509231398776
33,[64997 75694 76575 87430],[43634 33977 69139 44415],1509231398786
34,[64567 75689 76555 87818],[43814 33216 69123 44698],1509231398796
35,[64217 75713 76542 88157],[43958 32285 69105 44947],1509231398805
36,[63964 75788 76529 88395],[44062 31293 69096 45124],1509231398816
37,[63806 75807 76518 88514],[44132 30272 69087 45225],1509231398826
38,[63735 75834 76514 88522],[44162 29195 69080 45241],1509231398836
39,[63768 75857 76515 88453],[44140 28024 69083 45181],1509231398846
40,[63898 75938 76526 88299],[44071 26818 69086 45053],1509231398855
41,[64121 75955 76536 88055],[43966 25621 69089 44867],1509231398865
42,[64434 75998 76552 87727],[43828 24430 69100 44621],1509231398876
43,[64846 76020 76572 87311],[43652 23178 69116 44328],1509231398886
44,[65389 76059 76593 86808],[43427 21857 69137 43984],1509231398896
45,[66085 76127 76625 86205],[43150 20502 69153 43583],1509231398906
46,[66921 76175 76652 85456],[42843 19127 69160 43135],1509231398916
47,[67916 76191 76674 84556],[42500 17743 69157 42633],1509231398925
48,[69032 76221 76710 83574],[42179 16396 69120 42098],1509231398935
49,[69631 76264 76539 83006],[41411 15226 68572 41340],1509231398945
50,[69021 76207 76347 83536],[39970 67056 14269 40088],1509231398956
51,[67975 75706 76413 84375],[38157 65124 13476 38718],1509231398966
52,[67679 75106 76483 84366],[37146 64196 12758 38006],1509231398976
53,[68342 74661 76517 83436],[37162 64495 12085 37980],1509231398986
54,[69142 74595 76410 82524],[37413 64891 11537 37935],1509231398995
55,[68977 75033 76293 82913],[36958 64306 11212 37346],1509231399006
56,[67059 76182 76247 85293],[35155 61552 11176 35410],1509231399016
57,[65194 76294 77366 87736],[32228 11337 57311 32160],1509231399025
58,[64373 76404 78272 88925],[29121 11547 53324 28555],1509231399036
59,[64482 76472 78830 89002],[26830 11815 50760 25748],1509231399046
60,[64710 76529 79073 88741],[25919 12116 49829 24550],1509231399055
61,[64695 76465 78928 88607],[26103 12478 50006 24730],1509231399065
62,[64567 76302 78448 88596],[26562 12924 50663 25577],1509231399075
63,[64567 76227 77862 88595],[26933 13488 51373 26498],1509231399086
64,[64632 76253 77403 88580],[27227 14251 51965 27302],1509231399095
65,[64739 76280 77134 88517],[27562 15175 52531 27968],1509231399105
66,[64846 76256 77063 88427],[28136 16155 53195 28625],1509231399115
67,[64916 76234 77058 88344],[28863 17133 53986 29344],1509231399126
68,[64934 76202 77100 88275],[29819 18232 54950 30232],1509231399135
69,[64952 76169 77127 88226],[30940 19466 56075 31308],1509231399145
70,[64970 76097 77142 88208],[32244 20832 57361 32582],1509231399155
71,[64939 76094 77076 88160],[33624 22320 58784 34026],1509231399166
72,[64906 76054 76971 88089],[35120 23923 60332 35606],1509231399176
73,[64875 75969 76874 88004],[36733 25653 61971 37305],1509231399186
74,[64801 75908 76789 87902],[38463 27514 63705 39087],1509231399195
75,[64744 75833 76679 87799],[40252 29506 65534 40957],1509231399206
76,[64623 75756 76570 87716],[42182 31541 67480 42938],1509231399216
77,[64497 75667 76523 87592],[44013 33629 69226 44795],1509231399226
78,[66283 75551 76638 85715],[43084 35601 69104 43305],1509231399236
79,[68469 75492 76750 83239],[42591 37256 69299 42389],1509231399246
80,[75578 76877],[38130 69350],1509231399255
81,[75432 76861],[38160 69308],1509231399265
82,[69782 75376 76777],[42155 37719 69253],1509231399275
83,[68285 75540 76707 83059],[42526 37115 69208 42219],1509231399285
84,[67324 75581 76630 84544],[42718 36344 69118 42728],1509231399296
85,[66589 75674 76592 85612],[42917 35652 69074 43185],1509231399307
86,[66096 75753 76565 86297],[43059 35103 69041 43521],1509231399315
87,[65743 75715 76556 86676],[43187 34699 69025 43733],1509231399325
88,[65498 75625 76542 86877],[43287 34457 69018 43894],1509231399335
89,[65336 75638 76535 86964],[43358 34328 69024 43982],1509231399346
90,[65269 75662 76531 86951],[43389 34310 69027 44002],1509231399355
91,[65279 75646 76537 86890],[43406 34387 69043 43993],1509231399366
92,[65367 75612 76539 86789],[43378 34521 69051 43944],1509231399376
93,[65487 75586 76547 86657],[43348 34686 69070 43876],1509231399386
94,[65651 75611 76555 86511],[43289 34867 69083 43786],1509231399396
95,[65849 75634 76571 86385],[43221 35043 69098 43705],1509231399405
96,[66066 75649 76581 86288],[43144 35196 69112 43637],1509231399416
97,[66218 75666 76588 86170],[43090 35318 69121 43563],1509231399426
98,[66295 75651 76588 86030],[43066 35431 69124 43492],1509231399435
99,[66322 75603 76592 85928],[43061 35493 69125 43443],1509231399446
100,[66329 75595 76588 85902],[43054 35495 69122 43427],1509231399455
101,[66325 75612 76590 85949],[43052 35463 69120 43445],1509231399465
102,[66311 75634 76587 86002],[43052 35432 69115 43470],1509231399475
103,[66265 75638 76586 86040],[43068 35402 69112 43491],1509231399486
